Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
856	48,42,42	0.003935663495212793,0.012101119384169579,0.012101119384169579	11,10,10	12,9,9	68.18403625488281,71.40591430664062,71.40591430664062	0,0,0	0,520,531	0,2,0	0,10,0	0,270,0	0,130,7746	0,130,1943	0,0,0	0,1,1	1182.json	
1396	4,4,4	0.7238941788673401,0.6941834688186646,0.6941834688186646	1,1,1	1,1,1	124.58238983154297,124.58238983154297,124.58238983154297	0,0,0	0,695,1071	0,2,0	0,4,0	0,16,0	0,1804,7746	0,1804,1943	0,0,0	0,0,1	3371.json	
1357	3,3,3	0.8218582272529602,0.8132579922676086,0.8263181447982788	1,1,1	1,1,1	131.28770446777344,131.28770446777344,132.25152587890625	0,0,0	0,974,1032	0,1,1	0,2,2	0,9,17	0,311,7746	0,311,1943	0,0,0	0,1,1	801.json	
1749	4,4,4,4,4	0.8377236723899841,0.7593820095062256,0.7593820095062256,0.736659049987793,0.6886864304542542	1,1,1,1,1	1,2,2,2,2	125.27178192138672,125.78216552734375,125.78216552734375,125.78216552734375,126.94023132324219	0,0,0,0,0	0,179,281,1048,1424	0,1,0,1,2	0,2,0,2,4	0,14,0,8,29	0,2796,628,1804,7746	0,1559,90,1804,1943	0,0,0,0,0	0,0,0,0,1	4804.json	
1455	3,3,3,3	0.9773156046867371,0.9773156046867371,0.9756264686584473,0.8943488001823425	1,1,1,1	1,1,1,1	132.61029052734375,132.61029052734375,132.61029052734375,131.60296630859375	0,0,0,0	0,28,38,1130	0,0,3,3	0,0,6,6	0,0,12,38	0,274,307,7746	0,21,48,1943	0,0,0,0	0,0,0,1	1781.json	
1364	8,8	0.07239429652690887,0.07239429652690887	2,2	2,2	107.25726318359375,107.25726318359375	0,0	0,1039	0,0	0,0	0,0	0,7746	0,1943	0,0	0,1	2809.json	
1420	3,3,3	0.26824840903282166,0.26824840903282166,0.2756805121898651	1,1,1	0,0,0	128.21994018554688,128.21994018554688,128.712890625	0,0,0	0,1095,1228	0,0,1	0,0,2	0,0,1	0,7746,1007	0,1943,1007	0,0,0	0,1,1	6035.json	
1001	47,44,38,38	0.08894763141870499,0.012848222628235817,0.0376477986574173,0.0376477986574173	10,11,10,10	16,11,8,8	70.16651916503906,70.37451171875,73.92829895019531,73.92829895019531	0,0,0,0	0,145,665,676	0,35,2,0	0,73,10,0	0,765,270,0	0,52,130,7746	0,52,130,1943	0,0,0,0	0,0,1,1	1139.json	
1420	3,3,3	0.0,0.0,1.49876024806872E-4	1,1,1	0,0,0	124.8573989868164,124.8573989868164,125.3664321899414	0,0,0	0,1095,1228	0,0,1	0,0,2	0,0,4	0,7746,1007	0,1943,1007	0,0,0	0,1,1	2838.json	
1264	3,3,3	0.16153180599212646,0.17185531556606293,0.17185531556606293	1,1,1	2,2,2	128.53907775878906,128.2562713623047,128.2562713623047	0,0,0	0,60,939	0,1,0	0,2,0	0,9,0	0,38,7746	0,38,1943	0,0,0	0,0,1	8541.json	
1332	10,10,10	0.9261628985404968,0.9228675961494446,0.9228675961494446	3,3,3	3,3,3	105.84918975830078,105.84918975830078,105.84918975830078	0,0,0	0,631,1007	0,1,0	0,2,0	0,8,0	0,1804,7746	0,1804,1943	0,0,0	0,0,1	1421.json	
