Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2817	22,19,19,19,15,10	0.09883621335029602,0.07467591017484665,0.09286908805370331,0.09591483324766159,0.13536767661571503,0.13938003778457642	4,3,3,3,2,2	4,4,4,4,4,3	87.010009765625,89.9737548828125,90.25672149658203,90.3685531616211,95.46106719970703,103.40232849121094	0,0,0,0,0,0	0,1289,1670,2028,2163,2253	0,1,1,1,1,1	0,6,2,2,6,7	0,102,8,19,140,159	0,20,1771,95,25,14	0,20,1771,95,25,14	0,0,0,0,0,0	0,0,0,0,0,0	1182.json	
6642	7	0.05979407578706741	1	6	112.24042510986328	0	0	0	0	0	0	0	0	0	3371.json	
6260	3,3	0.9508231282234192,0.9498080015182495	1,1	0,0	132.9956512451172,133.59722900390625	0,0	0,652	0,1	0,2	0,6	0,67	0,67	0,0	0,0	801.json	
4597	21	0.021631428971886635	6	7	87.55528259277344	0	0	0	0	0	0	0	0	0	4804.json	
6902	2,2,2	0.9081576466560364,0.9287474155426025,0.9339456558227539	1,1,1	0,0,0	140.82913208007812,140.82913208007812,140.16575622558594	0,0,0	0,1331,4741	0,1,1	0,1,2	0,49,10	0,8,555	0,8,555	0,0,0	0,0,0	9048.json	
5601	7,8	0.09810061007738113,0.035754282027482986	2,2	6,8	111.07701873779297,107.87340545654297	0,0	0,2	0,1	0,1	0,49	0,5	0,5	0,0	0,0	1781.json	
6621	26,26,22,22,22,26,25,25	0.014285032637417316,0.014285032637417316,0.004251493606716394,0.004183652810752392,0.004320428241044283,0.0028826629277318716,0.0022791391238570213,0.002450548578053713	4,4,4,4,4,5,5,5	2,2,2,2,2,6,6,6	85.69522857666016,85.69522857666016,88.44407653808594,88.40150451660156,88.40150451660156,84.21051025390625,85.22711944580078,85.48118591308594	0,0,0,0,0,0,0,0	0,314,447,447,447,2418,5474,6059	0,1,16,1,1,4,1,1	0,2,36,2,2,4,3,2	0,4,102,3,6,144,70,28	0,1,33,3,22,73,1771,223	0,1,33,3,22,73,1771,223	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	2809.json	
6276	16,22,25,25,25,20,20,20,20	0.2877890169620514,0.023861700668931007,0.02790416218340397,0.02790416218340397,0.02645282633602619,0.023378487676382065,0.021928025409579277,0.029003318399190903,0.021683037281036377	5,6,6,6,6,4,4,4,4	3,3,3,3,3,3,3,5,5	92.78207397460938,85.69556427001953,83.62466430664062,83.62466430664062,83.51000213623047,88.2510757446289,88.2510757446289,88.04930114746094,88.1405258178711	0,0,0,0,0,0,0,0,0	0,41,100,595,648,785,1619,5127,5129	0,7,5,1,1,1,1,1,1	0,8,6,2,2,8,2,2,2	0,277,101,1,22,192,5,17,18	0,15,4,1,6,3,8,105,1771	0,15,4,1,6,3,8,105,1771	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	6035.json	
4671	3	0.8720149993896484	1	0	133.59722900390625	0	0	0	0	0	0	0	0	0	1139.json	
3628	3,3	0.6753640174865723,0.4972996711730957	1,1	2,2	131.75106811523438,130.45266723632812	0,0	0,658	0,1	0,2	0,10	0,131	0,131	0,0	0,0	8754.json	
6621	43	1.3893781579099596E-4	7	16	72.25798797607422	0	0	0	0	0	0	0	0	0	2838.json	
3872	1	0.988038957118988	1	0	151.39474487304688	0	0	0	0	0	0	0	0	0	8541.json	
6641	4,3	0.8894434571266174,0.8567624092102051	1,1	0,0	129.6001434326172,133.59722900390625	0,1	0,984	0,2	0,4	0,13	0,9	0,9	0,0	0,0	1421.json	
6366	14,18,13,9	0.04435892030596733,0.07947777956724167,0.017943747341632843,0.00930845644325018	3,4,3,2	3,5,3,3	97.82337951660156,91.60475158691406,99.02392578125,106.28377532958984	0,0,0,0	0,747,748,5572	0,8,0,1	0,8,8,5	0,223,210,167	0,12,11,225	0,12,11,225	0,0,1,0	0,0,1,0	711.json	
5597	10,11,11	0.1781361699104309,0.20574623346328735,0.2577647566795349	4,4,4	4,4,4	103.66865539550781,101.5284652709961,102.83186340332031	0,0,0	0,7,4803	0,2,2	0,3,4	0,50,28	0,29,167	0,29,167	0,0,0	0,0,0	7648.json	
7060	54,54,54,54	0.0,0.0,0.0,0.0	15,15,15,15	28,28,28,28	62.65822219848633,62.6729736328125,62.6729736328125,62.71501922607422	0,0,0,0	0,1378,2106,5913	0,1,1,1	0,2,1,2	0,10,22,45	0,1,1,1771	0,1,1,1771	0,0,0,0	0,0,0,0	2286.json	
7000	3,3,3	0.40452009439468384,0.3088921308517456,0.5985085368156433	1,1,1	0,0,0	129.14646911621094,129.14646911621094,131.28770446777344	0,0,1	0,20,373	0,1,1	0,2,2	0,17,65	0,6,4	0,6,4	0,0,0	0,1,1	4561.json	
7446	22,22,22,22	5.715137231163681E-4,0.0014795544557273388,9.33677249122411E-4,8.559555863030255E-4	3,3,3,3	15,15,15,14	84.95729064941406,84.95729064941406,84.76815032958984,84.8315658569336	0,0,0,0	0,2805,4603,6652	0,2,1,1	0,2,2,2	0,138,16,18	0,6,204,5	0,6,204,5	0,0,0,0	0,0,0,0	6661.json	
6746	13,12,12,12,12	0.596363365650177,0.45884254574775696,0.21856211125850677,0.23968274891376495,0.2523632347583771	3,3,3,3,3	1,1,1,1,1	98.22280883789062,99.91877746582031,99.40080261230469,99.59326171875,99.59326171875	0,0,0,0,0	0,44,3903,5487,5599	0,12,1,2,1	0,25,2,4,2	0,145,56,34,8	0,4,204,5,1771	0,4,204,5,1771	0,0,0,0,0	0,1,0,0,0	1170.json	
5497	3	0.7816889882087708	1	2	130.99049377441406	0	0	0	0	0	0	0	0	0	1359.json	
979	3,3	0.8896099925041199,0.8896099925041199	1,1	0,0	132.086669921875,132.086669921875	1,1	0,0	0,3	0,3	0,0	0,6	0,6	0,0	0,0	4868.json	
5563	3,3,3	0.7781376242637634,0.7781376242637634,0.7818272113800049	1,1,1	0,0,0	131.28770446777344,131.28770446777344,130.85629272460938	1,1,1	0,0,3402	0,0,1	0,0,2	0,0,6	0,4,462	0,1,462	0,0,0	0,0,0	6465.json	
