Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
7200	8,8,8,8,8,8,11,10,10,10	0.7357280850410461,0.3686453402042389,0.6472175121307373,0.8528435826301575,0.8921446204185486,0.7879143357276917,0.7008141279220581,0.4584329426288605,0.4584329426288605,0.4584329426288605	3,3,3,3,3,3,3,3,3,3	4,5,5,5,4,6,6,6,6,6	106.09913635253906,105.4096908569336,105.94840240478516,106.10387420654297,106.7928695678711,106.26656341552734,101.3566665649414,103.36024475097656,103.36024475097656,103.36024475097656	0,0,0,0,0,0,0,0,0,0	0,1085,1090,1101,1520,1609,1896,2022,2714,2784	0,1,1,2,1,2,6,1,0,0	0,2,2,4,2,4,9,3,0,0	0,63,18,29,33,12,86,41,0,0	0,175,26,76,8,563,147,5,6108,9246	0,175,26,76,8,563,147,5,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,1,0,0,1	11972.json	
5193	9,7,12,12	0.1072002723813057,0.3080671727657318,0.21631315350532532,0.21631315350532532	2,2,3,3	4,3,3,3	105.23994445800781,111.59553527832031,100.66156768798828,100.66156768798828	0,0,0,0	0,21,93,777	0,4,9,0	0,10,13,0	0,234,160,0	0,53,55,9246	0,53,55,0	0,0,0,0	0,0,1,1	1182.json	
6230	6,9,9,9,9	0.9338278770446777,0.896559476852417,0.8929342031478882,0.8929342031478882,0.8929342031478882	2,2,2,2,2	1,1,1,1,1	115.63639831542969,108.39408111572266,108.39408111572266,108.39408111572266,108.39408111572266	0,0,0,0,0	0,384,502,1744,1814	0,4,2,0,0	0,5,4,0,0	0,24,2,0,0	0,9,18,6108,9246	0,9,18,0,0	0,0,0,0,0	0,1,1,0,1	11749.json	
5193	3,3	0.6978434920310974,0.6978434920310974	1,1	0,0	132.61029052734375,132.61029052734375	1,1	0,777	0,0	0,0	0,0	0,9246	0,0	0,0	0,1	801.json	
4741	3,3,3	0.786766767501831,0.006926145404577255,0.006926145404577255	1,1,1	0,1,1	130.18594360351562,128.8216552734375,128.8216552734375	0,0,0	0,92,325	0,1,0	0,3,0	0,47,0	0,448,9246	0,448,0	0,0,0	0,0,1	14173.json	
7002	1,3,3,3	0.982174813747406,0.9013224840164185,0.9013224840164185,0.9013224840164185	1,1,1,1	0,0,0,0	151.39474487304688,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1	0,1268,2517,2586	0,1,0,0	0,2,0,0	0,13,0,0	0,21,6108,9246	0,21,0,0	0,0,0,0	0,1,0,1	9048.json	
5679	15,16,16,16	0.5514779090881348,0.5212162733078003,0.5212162733078003,0.5212162733078003	4,4,4,4	5,5,5,5	95.42292022705078,94.19593811035156,94.19593811035156,94.19593811035156	0,0,0,0	0,768,1194,1263	0,1,0,0	0,1,0,0	0,19,0,0	0,6,6108,9246	0,6,0,0	0,0,0,0	0,1,0,1	12156.json	
4366	3,3	0.9518932104110718,0.9518932104110718	1,1	0,0	132.9956512451172,132.9956512451172	0,0	0,194	0,0	0,0	0,0	0,112	0,1	0,0	0,0	1781.json	
3485	3	0.3040443956851959	1	0	133.59722900390625	0	0	0	0	0	0	0	0	0	2809.json	
6193	3,3,3	0.9820969104766846,0.835759699344635,0.835759699344635	1,1,1	1,1,1	132.79563903808594,132.79563903808594,132.79563903808594	0,0,0	0,1707,1777	0,0,0	0,0,0	0,9,0	0,6108,9246	0,0,0	0,0,0	0,0,1	6035.json	
