Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2614	7,9	0.1416398584842682,0.4696441888809204	2,3	3,4	112.54422760009766,106.70935821533203	0,0	0,560	0,4	0,5	0,66	0,14	0,14	0,0	0,1	801.json	
2858	4,4,5	0.26008930802345276,0.26008930802345276,0.13818985223770142	1,1,1	3,3,4	124.92120361328125,124.92120361328125,120.28338623046875	0,0,0	0,2,860	0,4,1	0,4,1	0,0,26	0,14,6	0,14,6	0,0,0	0,0,1	2809.json	
2043	17,13	0.2622670829296112,0.5624115467071533	5,4	4,2	92.5351791381836,98.61444091796875	0,0	0,6	0,1	0,7	0,185	0,3	0,3	0,0	0,0	2838.json	
2039	8,8,8	0.1797625571489334,0.1754266619682312,0.3878587782382965	2,2,2	5,5,3	108.29985046386719,108.46271514892578,109.3763427734375	0,0,0	0,3,109	0,1,1	0,2,2	0,6,57	0,11,19	0,11,19	0,0,0	0,0,1	1421.json	
3108	3,5,2,5,13,13	0.6808509230613708,0.7347264289855957,0.9304451942443848,0.7190183997154236,0.3702451288700104,0.37375420331954956	1,2,1,2,3,3	1,1,0,1,3,3	131.75106811523438,121.30742645263672,140.82913208007812,120.95380401611328,99.59846496582031,99.59846496582031	0,0,0,0,0,0	0,23,96,418,1215,1287	0,3,2,5,15,1	0,4,7,7,20,2	0,51,82,86,387,4	0,16,37,37,5,119	0,16,37,37,5,41	0,0,0,0,0,0	0,0,1,0,1,1	711.json	
2485	3	0.8382989168167114	1	1	132.79563903808594	0	0	0	0	0	0	0	0	0	2286.json	
3710	5,5	0.08296491950750351,0.3906652629375458	2,2	1,1	119.26190948486328,120.73249816894531	0,0	0,666	0,1	0,2	0,41	0,120	0,96	0,0	0,0	1359.json	
1759	16,16,16,17,16,22,23,23,32,30,3	0.049809008836746216,0.011612338945269585,0.011612338945269585,0.005511418450623751,0.011612338945269585,7.413611747324467E-4,7.352797547355294E-4,0.00109085813164711,7.225072477012873E-4,8.461336838081479E-4,0.8045333027839661	3,3,3,3,3,5,5,5,7,7,1	7,7,7,10,7,15,15,15,17,16,1	93.56404113769531,93.56404113769531,93.56404113769531,91.82035064697266,93.56404113769531,84.3351821899414,83.78336334228516,83.82942199707031,76.48898315429688,77.72460174560547,132.25152587890625	0,0,0,0,0,0,0,0,0,0,0	0,0,0,16,16,83,85,87,98,100,100	0,3,1,1,0,18,11,2,11,1,1	0,4,2,1,1,27,23,4,12,4,34	0,329,2,98,98,440,127,20,558,80,1650	0,2,2,8,2,2,11,3,4,2,5	0,2,2,8,2,2,11,3,4,2,5	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,1,0	2100.json	
2093	3	0.8270229697227478	1	0	132.79563903808594	0	0	0	0	0	0	0	0	0	2080.json	
3163	30	0.0	1	43	76.07038879394531	0	0	0	0	0	0	0	0	0	2413.json	
