Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1601	4	0.2615422308444977	1	1	124.71717071533203	0	0	0	0	0	0	0	0	0	11972.json	
2569	4	0.9151791930198669	1	0	128.335205078125	1	0	0	0	0	0	0	0	0	1182.json	
665	4	0.002434173598885536	1	3	123.56243133544922	0	0	0	0	0	0	0	0	0	3371.json	
2362	13,13,13	0.018316233530640602,0.017248231917619705,0.06410469859838486	4,4,4	14,14,14	95.35118103027344,95.13045501708984,95.71776580810547	0,0,0	0,78,195	0,2,5	0,3,10	0,85,36	0,58,230	0,58,181	0,0,0	0,1,0	23415.json	
1601	7,9,7,7	0.3066335618495941,0.5572718381881714,0.3066335618495941,0.3087939918041229	2,3,2,2	2,3,2,2	110.5804443359375,105.32388305664062,110.5804443359375,109.86891174316406	0,0,0,0	0,70,162,1361	0,3,0,1	0,3,3,2	0,65,65,32	0,31,4,2	0,31,4,2	0,0,0,0	0,0,1,1	11749.json	
868	4	0.6043745875358582	1	1	126.94251251220703	1	0	0	0	0	0	0	0	0	801.json	
57	18	0.004230030812323093	5	15	88.45985412597656	0	0	0	0	0	0	0	0	0	14173.json	
1788	4	0.25016894936561584	1	0	125.02987670898438	0	0	0	0	0	0	0	0	0	17951.json	
2411	16,16,16,16,16,16,19,19,4,16	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20262737572193146,0.0	5,5,5,5,5,5,5,5,1,5	10,10,10,9,9,10,11,11,1,10	89.27589416503906,89.07328796386719,89.07328796386719,89.49413299560547,89.65166473388672,89.52735900878906,86.76671600341797,87.08875274658203,124.81353759765625,89.37289428710938	0,0,0,0,0,0,0,0,0,0	0,64,196,199,205,295,885,953,1113,1340	0,2,2,1,2,1,5,1,1,2	0,4,4,2,4,2,7,2,19,4	0,27,12,111,16,23,81,47,835,837	0,41,9,3,44,30,59,150,278,6	0,41,9,3,44,30,59,149,278,6	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1	4804.json	
1317	4	0.6016688346862793	1	0	128.936767578125	0	0	0	0	0	0	0	0	0	17104.json	
1807	7	0.75950688123703	2	1	113.2991714477539	0	0	0	0	0	0	0	0	0	9048.json	
1601	4	0.7851317524909973	1	0	128.936767578125	1	0	0	0	0	0	0	0	0	12156.json	
366	6	0.6213419437408447	2	0	114.57196044921875	0	0	0	0	0	0	0	0	0	1781.json	
1502	3,3	0.7083671689033508,0.7083671689033508	1,1	0,0	132.4454345703125,132.4454345703125	0,0	0,270	0,0	0,0	0,0	0,111	0,79	0,0	0,0	2809.json	
278	12	0.005193943623453379	2	4	100.07587432861328	0	0	0	0	0	0	0	0	0	6035.json	
2486	4,4,4	0.20258362591266632,0.22264927625656128,0.22039376199245453	1,1,1	1,1,1	124.58238983154297,124.48601531982422,124.48601531982422	0,0,0	0,1166,2280	0,1,1	0,2,2	0,14,5	0,321,25	0,321,25	0,0,0	0,0,0	1139.json	
1794	4	0.8767959475517273	1	0	127.27810668945312	0	0	0	0	0	0	0	0	0	8754.json	
519	4	0.4523507356643677	1	0	126.37059020996094	0	0	0	0	0	0	0	0	0	12585.json	
1681	4	0.018269816413521767	1	1	124.1488037109375	0	0	0	0	0	0	0	0	0	20544.json	
1886	16	0.038408856838941574	4	5	95.3338851928711	0	0	0	0	0	0	0	0	0	711.json	
3322	5,5,5	0.5596225261688232,0.5624276399612427,0.6068820357322693	1,1,1	2,2,2	120.3299331665039,120.3299331665039,120.3299331665039	0,0,0	0,953,1039	0,1,3	0,2,6	0,7,13	0,255,18	0,255,18	0,0,0	0,0,0	7648.json	
