Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1165	3	0.029123181477189064	1	1	128.1388702392578	0	0	0	0	0	0	0	0	0	1182.json	
1034	16,16	0.3828222453594208,0.3828222453594208	3,3	1,1	96.73989868164062,96.73989868164062	0,0	0,336	0,0	0,0	0,0	0,332	0,238	0,0	0,1	3371.json	
6184	4,4,4,3,3	0.8495808839797974,0.8495808839797974,0.8612589836120605,0.8949078321456909,0.8949078321456909	1,1,1,1,1	0,0,0,0,0	128.936767578125,128.936767578125,128.936767578125,133.59722900390625,133.59722900390625	1,1,1,1,1	0,3934,4255,4394,4473	0,0,1,0,1	0,0,2,0,2	0,0,2,8,1	0,1425,141,32,2	0,0,141,0,2	0,0,0,0,0	0,0,0,0,1	801.json	
1908	23,3	0.0,0.31042516231536865	1,1	0,1	88.33722686767578,132.61029052734375	1,1	0,1010	0,1	0,21	0,624	0,119	0,119	0,0	0,1	1781.json	
1644	7,7,8,9	0.2108185738325119,0.20154663920402527,0.09007293730974197,0.03599690645933151	1,1,1,1	3,3,4,5	111.9620132446289,111.76954650878906,108.75569152832031,106.10328674316406	0,0,0,0	0,0,212,221	0,1,1,1	0,2,1,1	0,7,59,63	0,4,30,3	0,4,30,3	0,0,0,0	0,0,1,1	2809.json	
4520	4,4,3,3	0.2287008911371231,0.2287008911371231,0.3562808632850647,0.41723111271858215	1,1,1,1	0,0,1,1	124.6862564086914,124.6862564086914,132.61029052734375,132.61029052734375	1,1,1,1	0,2271,2800,3586	0,0,1,1	0,0,2,2	0,0,54,9	0,1425,144,3	0,0,144,3	0,0,0,0	0,0,1,1	1139.json	
1706	8	0.09613420069217682	3	2	108.84356689453125	0	0	0	0	0	0	0	0	0	2838.json	
6410	45,44,45,47,47,48,48,47,50,49,49,49,49,47,47,30,23,22,21,18,18,18,18,18,18,18,18	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581717800348997E-4,7.67500139772892E-4,7.714933017268777E-4,8.047054288908839E-4,8.067961316555738E-4,8.681783801876009E-4,1.6038466128520668E-4,1.2796363444067538E-4	13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,9,7,7,7,6,6,6,6,6,6,6,6	37,37,40,40,40,40,40,40,44,44,44,44,44,44,44,30,22,21,20,16,16,16,16,16,14,14,13	67.49472045898438,68.03020477294922,67.61457061767578,66.87601470947266,66.87601470947266,66.53495025634766,66.53495025634766,66.87601470947266,65.25634765625,65.64169311523438,65.66140747070312,65.66140747070312,65.89403533935547,66.60323333740234,66.91246795654297,76.9763412475586,83.12825775146484,84.06409454345703,84.85137939453125,88.86255645751953,88.61875915527344,88.61875915527344,88.61875915527344,88.61875915527344,88.69876098632812,88.69876098632812,88.63803100585938	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,23,23,42,66,234,4160,4322,4403,4478,4481,4531,4532,4542,4626,4626,4670,4675,4685,4699,4701,4701,4702,4778,5712,6325	0,2,3,2,0,3,0,0,3,2,6,25,6,2,29,3,2,1,1,2,1,1,1,1,2,1,1	0,5,6,4,0,5,0,0,3,5,12,50,12,4,59,18,10,3,3,11,2,2,2,2,4,2,2	0,57,70,4,0,37,0,30,143,25,122,67,16,4,231,759,374,67,66,405,16,6,2,4,28,4,38	0,1,5,1,1,1,12,1425,2,17,5,15,242,6,3,2,2,2,4,3,28,95,7,24,2,332,39	0,1,5,1,0,1,0,0,2,17,5,15,242,6,3,2,2,2,4,3,28,74,7,24,2,238,38	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1	1421.json	
947	10	0.2618855834007263	3	1	105.46504974365234	0	0	0	0	0	0	0	0	0	711.json	
6407	25,26,26,26,26,27,27,27,27,27,27,27,16	0.00845977384597063,0.008191016502678394,0.008191016502678394,0.00832358654588461,0.0028778337873518467,0.0026891168672591448,0.0023390355054289103,0.0024253735318779945,0.0022207770962268114,0.0022207770962268114,0.002223375951871276,0.0027785387355834246,0.09684157371520996	4,4,4,4,4,4,4,4,4,4,4,4,5	21,21,21,21,21,21,22,22,22,22,22,22,5	82.77698516845703,82.14160919189453,82.14160919189453,82.04063415527344,82.04063415527344,81.33673858642578,81.21331787109375,81.08570098876953,80.94257354736328,80.94257354736328,80.94257354736328,80.94975280761719,94.25941467285156	0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,231,251,680,712,938,1359,1885,4157,4478,4510,4516	0,2,0,2,2,4,1,5,1,0,6,1,12	0,4,0,4,4,7,2,10,2,0,12,2,37	0,27,0,8,12,71,9,8,8,0,18,21,887	0,39,24,8,24,49,34,112,31,1425,36,8,20	0,39,0,8,24,49,34,112,31,0,36,8,20	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,1	2286.json	
