Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
770	6,6	0.4734523296356201,0.1081332117319107	2,2	1,3	115.63639831542969,113.80038452148438	0,0	0,115	0,1	0,2	0,50	0,1	0,1	0,0	0,0	1182.json	
2396	10,10,10	0.01886039972305298,0.02022508718073368,0.020701125264167786	2,2,2	2,2,2	103.32474517822266,103.03687286376953,102.95867919921875	0,0,0	0,1577,1578	0,1,1	0,2,2	0,18,6	0,51,33	0,51,33	0,0,0	0,0,0	801.json	
2359	7,7,6	0.23874646425247192,0.24496755003929138,0.2180398851633072	2,2,2	3,3,3	113.31297302246094,113.06793212890625,115.97023010253906	0,0,0	0,1540,1700	0,1,1	0,2,3	0,6,21	0,51,21	0,51,21	0,0,0	0,0,0	1139.json	
2809	8,8,5	0.3194883167743683,0.3325335681438446,0.6381284594535828	1,1,1	3,3,2	110.04769134521484,109.72466278076172,118.44156646728516	0,0,0	0,228,1508	0,2,1	0,4,5	0,12,72	0,658,15	0,658,15	0,0,0	0,0,0	711.json	
5201	3,3,3,3,3,4	0.0010206488659605384,3.803512954618782E-4,3.803512954618782E-4,0.0,0.0,1.1722157069016248E-4	1,1,1,1,1,1	1,1,1,1,1,1	127.67500305175781,126.9422836303711,126.9422836303711,126.07219696044922,125.48878479003906,120.82833862304688	0,0,0,0,0,0	0,890,1832,1991,2620,5198	0,1,0,2,1,2	0,2,0,4,2,4	0,3,0,24,24,56	0,20,762,24,658,53	0,20,0,24,658,53	0,0,0,0,0,0	0,0,1,0,0,1	1170.json	
4931	3,3	0.937480628490448,0.937480628490448	1,1	0,0	133.59722900390625,133.59722900390625	0,0	0,1562	0,0	0,0	0,0	0,762	0,0	0,0	0,1	1058.json	
4372	3,3	0.6588944792747498,0.6588944792747498	1,1	1,1	132.25152587890625,132.25152587890625	0,0	0,1002	0,0	0,0	0,0	0,762	0,0	0,0	0,1	213.json	
30	10,10	0.7256802916526794,0.7541465163230896	3,3	0,1	105.05137634277344,104.87965393066406	0,0	0,0	0,3	0,6	0,17	0,3	0,3	0,0	0,0	966.json	
5841	3,3,7,7,7,3	0.47707512974739075,0.753141462802887,0.8160400986671448,0.8160400986671448,0.8210789561271667,0.309010773897171	1,1,2,2,2,1	1,1,2,2,2,2	130.99049377441406,131.75106811523438,114.36758422851562,114.36758422851562,114.08124542236328,129.57785034179688	0,0,0,0,0,0	0,420,1874,2471,3260,5791	0,1,5,0,1,1	0,2,6,0,2,6	0,9,96,0,6,82	0,30,35,762,658,9	0,30,35,0,658,9	0,0,0,0,0,0	0,1,0,1,0,0	944.json	
516	19,19	0.013689745217561722,0.0139961251989007	6,6	1,1	88.10222625732422,87.94522857666016	0,0	0,378	0,1	0,2	0,202	0,13	0,13	0,0	0,0	391.json	
4340	4,4,4	0.7514483332633972,0.7514483332633972,0.7623718976974487	1,1,1	1,1,1	125.64796447753906,125.64796447753906,125.27178192138672	0,0,0	0,970,1759	0,0,1	0,0,2	0,0,6	0,762,658	0,0,658	0,0,0	0,1,0	847.json	
6227	3,3,3,3,3	0.6936449408531189,0.07698726654052734,0.06646275520324707,0.06646275520324707,0.07698726654052734	1,1,1,1,1	1,1,1,1,1	130.18594360351562,128.50894165039062,129.0215301513672,129.0215301513672,128.50894165039062	0,0,0,0,0	0,159,387,2857,3646	0,2,1,0,1	0,4,2,0,2	0,50,12,0,12	0,22,31,762,658	0,22,31,0,658	0,0,0,0,0	0,0,0,1,0	101.json	
3967	3,3,3	0.8933117389678955,0.8933117389678955,0.9006253480911255	1,1,1	0,0,0	131.75106811523438,131.75106811523438,131.28770446777344	0,0,0	0,597,1386	0,0,1	0,0,2	0,0,6	0,762,658	0,0,658	0,0,0	0,1,0	462.json	
6227	3,3,3,8,8,8	0.5493801832199097,0.5493801832199097,0.7841392159461975,0.805512011051178,0.805512011051178,0.7965950965881348	1,1,1,2,2,2	1,1,1,2,2,2	129.69032287597656,129.69032287597656,130.30841064453125,110.75399017333984,110.75399017333984,110.38101959228516	0,0,0,0,0,0	0,231,806,2260,2857,3646	0,0,1,6,0,2	0,0,2,7,0,4	0,0,9,118,0,12	0,14,30,35,762,658	0,0,30,35,0,658	0,0,0,0,0,0	0,0,1,0,1,0	454.json	
138	4	0.00337825040332973	1	2	120.70597839355469	0	0	0	0	0	0	0	0	0	796.json	
5841	3,3,7,9,9,9,9	4.934073658660054E-4,0.0014561787247657776,0.1635265052318573,0.052167415618896484,0.052167415618896484,0.05764045566320419,0.05683877319097519	1,1,2,2,2,2,2	1,1,2,4,4,4,4	127.42049407958984,127.8512954711914,111.78721618652344,106.65968322753906,106.65968322753906,106.19174194335938,106.19174194335938	0,0,0,0,0,0,0	0,420,1874,2298,2471,3260,5701	0,1,5,4,0,2,2	0,2,6,6,0,4,4	0,9,96,62,0,24,12	0,30,35,16,762,658,3	0,30,35,16,0,658,3	0,0,0,0,0,0,0	0,1,0,0,1,0,0	940.json	
3582	3,3,3,3	0.4318167567253113,0.1589929461479187,0.1589929461479187,0.16986669600009918	1,1,1,1	2,2,2,2	129.0215301513672,128.0337677001953,128.0337677001953,127.76728820800781	0,0,0,0	0,207,212,1001	0,2,0,1	0,4,0,2	0,21,0,6	0,13,762,658	0,13,0,658	0,0,0,0	0,1,1,0	488.json	
74	3	0.7777156829833984	1	1	131.60296630859375	1	0	0	0	0	0	0	0	0	976.json	
3375	3,3,3	6.334019126370549E-4,6.334019126370549E-4,7.419873145408928E-4	1,1,1	1,1,1	126.56407165527344,126.56407165527344,126.20867156982422	0,0,0	0,6,794	0,0,1	0,0,2	0,0,12	0,762,658	0,0,658	0,0,0	0,1,0	8.json	
30	3	0.8417015075683594	1	1	131.60296630859375	0	0	0	0	0	0	0	0	0	990.json	
1497	6,6,6	0.11904338747262955,0.12325766682624817,0.12759949266910553	2,2,2	1,1,1	115.25157928466797,115.03083801269531,114.88836669921875	0,0,0	0,677,678	0,1,1	0,2,2	0,8,6	0,51,33	0,51,33	0,0,0	0,0,0	541.json	
6379	30,30,30,23,23,23,23,29,28,28,22,28	0.315193772315979,0.315193772315979,0.3129611909389496,0.2529961168766022,0.24284304678440094,0.27116474509239197,0.36150211095809937,0.07240888476371765,0.07647266238927841,0.0778074637055397,0.10910508036613464,0.024919021874666214	4,4,4,4,4,4,4,6,6,6,6,8	7,7,7,7,7,7,7,12,12,12,10,10	81.64922332763672,81.64922332763672,81.64922332763672,85.22824096679688,85.22824096679688,85.38325500488281,85.79344940185547,80.18830871582031,80.75679016113281,80.6230239868164,85.39266967773438,80.09549713134766	0,0,0,0,0,0,0,0,0,0,0,0	0,19,382,502,538,539,738,1194,3010,3798,5051,6349	0,0,3,4,2,2,2,10,0,2,2,6	0,0,6,8,4,4,4,10,0,4,11,6	0,0,3,146,26,18,16,266,12,18,189,162	0,25,57,19,15,94,12,1,762,658,20,1	0,0,57,19,15,94,12,1,0,658,20,1	0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,1,0,0,0	1068.json	
5612	5,6,6	0.2752463221549988,0.3146136701107025,0.33192986249923706	2,2,2	2,2,2	118.7500228881836,115.79641723632812,115.40231323242188	0,0,0	0,2243,3031	0,0,1	0,0,2	0,12,12	0,762,658	0,0,658	0,0,0	0,1,0	752.json	
4280	9,9,9,9,9,9,9,5	0.031202156096696854,0.031202156096696854,0.020901894196867943,0.020347701385617256,0.020347701385617256,0.013787111267447472,0.012961888685822487,0.048840463161468506	3,3,3,3,3,3,3,1	5,5,6,6,6,6,6,5	103.37310028076172,103.37310028076172,103.11625671386719,103.11625671386719,103.11625671386719,102.9554443359375,102.79869079589844,117.79822540283203	0,0,0,0,0,0,0,0	0,911,914,919,920,921,1699,2630	0,0,1,1,0,1,2,1	0,0,2,2,0,2,4,6	0,0,19,12,0,10,12,225	0,762,4,46,30,6,658,10	0,0,4,23,17,6,658,10	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	576.json	
1885	3	0.7398160696029663	1	1	131.75106811523438	0	0	0	0	0	0	0	0	0	382.json	
3375	3,3	0.7375631332397461,0.7375631332397461	1,1	1,1	132.25152587890625,132.25152587890625	0,0	0,6	0,0	0,0	0,0	0,762	0,0	0,0	0,1	296.json	
74	3	0.589587390422821	1	1	130.18594360351562	0	0	0	0	0	0	0	0	0	1044.json	
74	3	0.3046445846557617	1	3	127.87090301513672	0	0	0	0	0	0	0	0	0	1010.json	
5540	3,3,3	0.3697039783000946,0.2012883424758911,0.2012883424758911	1,1,1	1,1,1	130.85629272460938,129.7158966064453,129.7158966064453	1,1,1	0,1200,2171	0,1,0	0,2,0	0,22,0	0,38,762	0,38,0	0,0,0	0,0,1	55.json	
138	4	0.008097238838672638	1	1	122.05010986328125	0	0	0	0	0	0	0	0	0	790.json	
4820	6,6,6	0.21801288425922394,0.21801288425922394,0.22483651340007782	2,2,2	0,0,0	115.56517028808594,115.56517028808594,115.33042907714844	0,0,0	0,1451,2239	0,0,1	0,0,2	0,0,6	0,762,658	0,0,658	0,0,0	0,1,0	43.json	
2840	24,24,25,25,4,4	0.0,0.0,3.087245568167418E-4,2.623249893076718E-4,3.2966883736662567E-4,2.4308987485710531E-4	6,6,6,6,1,1	4,4,4,4,1,1	83.15106964111328,83.21324920654297,82.41996002197266,82.41996002197266,121.34304809570312,120.76895904541016	0,0,0,0,0,0	0,6,6,6,6,259	0,1,5,3,2,1	0,2,9,6,26,2	0,11,60,18,831,24	0,13,4,5,8,658	0,13,4,5,8,658	0,0,0,0,0,0	0,0,0,0,0,0	658.json	
3370	3,3	0.7307891845703125,0.7307891845703125	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,1	0,0	0,0	0,0	0,762	0,0	0,0	0,1	306.json	
516	6	0.6485985517501831	2	2	116.48211669921875	0	0	0	0	0	0	0	0	0	400.json	
75	5,4	0.055424127727746964,1.4237426512409002E-4	1,1	1,2	117.67395782470703,120.01993560791016	0,0	0,1	0,2	0,5	0,80	0,45	0,43	0,0	0,0	1032.json	
574	25,17,17	0.286424845457077,0.5901069641113281,0.6005099415779114	7,5,5	8,7,7	82.86798095703125,91.04510498046875,90.81513977050781	0,0,0	0,0,13	0,2,4	0,15,8	0,254,24	0,1,7	0,1,7	0,0,0	0,0,0	193.json	
2855	4,3	0.007474654354155064,0.0012040921719744802	1,1	2,2	122.3560791015625,126.48982238769531	0,0	0,274	0,1	0,2	0,35	0,658	0,658	0,0	0,0	1115.json	
3788	5,5,5	0.3563741445541382,0.3563741445541382,0.35172396898269653	1,1,1	1,1,1	118.66690826416016,118.66690826416016,118.29083251953125	0,0,0	0,419,1207	0,0,1	0,0,2	0,0,12	0,762,658	0,0,658	0,0,0	0,1,0	496.json	
5997	5,5,4,4	0.22265611588954926,0.21454304456710815,0.13163261115550995,0.13856929540634155	1,1,1,1	0,0,0,0	117.8650894165039,118.08985900878906,121.70478820800781,121.48001098632812	0,0,0,0	0,157,2628,3416	0,1,0,1	0,2,0,2	0,6,7,6	0,94,762,658	0,94,0,658	0,0,0,0	0,0,1,0	104.json	
139	3	0.40191665291786194	1	1	129.37762451171875	0	0	0	0	0	0	0	0	0	928.json	
30	10,10	0.7256802916526794,0.7541465163230896	3,3	0,1	105.05137634277344,104.87965393066406	0,0	0,0	0,3	0,6	0,17	0,3	0,3	0,0	0,0	986.json	
5807	4,4	0.6908211708068848,0.6908211708068848	1,1	0,0	127.78498840332031,127.78498840332031	0,0	0,2437	0,0	0,0	0,0	0,762	0,0	0,0	0,1	920.json	
5970	6,6,6,6	0.18236373364925385,0.1708546280860901,0.16826552152633667,0.17963799834251404	2,2,2,2	2,2,2,2	114.15511322021484,114.47814178466797,114.47814178466797,114.15511322021484	0,0,0,0	0,130,2601,3389	0,1,0,1	0,2,0,2	0,12,6,12	0,94,762,658	0,94,0,658	0,0,0,0	0,0,1,0	1106.json	
264	3	0.7786417603492737	1	1	130.85629272460938	0	0	0	0	0	0	0	0	0	71.json	
4280	5,5,5,5	0.5762804746627808,0.5762804746627808,0.5963399410247803,0.5721980333328247	2,2,2,2	1,1,1,1	120.6200180053711,120.6200180053711,120.6200180053711,120.6200180053711	0,0,0,0	0,911,919,920	0,0,1,1	0,0,2,2	0,0,6,10	0,762,46,30	0,0,23,17	0,0,0,0	0,1,0,0	573.json	
5102	8,8,8	0.848181426525116,0.848181426525116,0.8519649505615234	2,2,2	1,1,1	110.44464111328125,110.44464111328125,110.22791290283203	0,0,0	0,1732,2521	0,0,1	0,0,2	0,0,6	0,762,658	0,0,658	0,0,0	0,1,0	503.json	
1273	3	0.7568941116333008	1	0	131.9385528564453	0	0	0	0	0	0	0	0	0	359.json	
4280	2,2,2,2,2	0.922695517539978,0.922695517539978,0.922695517539978,0.922695517539978,0.99691241979599	1,1,1,1,1	0,0,0,0,0	140.82913208007812,140.82913208007812,140.82913208007812,140.82913208007812,140.82913208007812	0,0,0,0,0	0,911,919,920,4020	0,0,0,0,1	0,0,0,0,1	0,0,0,0,16	0,762,46,30,24	0,0,23,17,24	0,0,0,0,0	0,1,0,0,0	577.json	
6067	8,8,8,8,8,8	0.1959017962217331,0.20486700534820557,0.1533486545085907,0.2115347683429718,0.2115347683429718,0.12544076144695282	3,3,3,3,3,3	1,1,1,1,1,1	107.5112533569336,107.75535583496094,107.70750427246094,109.26466369628906,109.26466369628906,108.83756256103516	0,0,0,0,0,0	0,227,1610,2078,2698,3486	0,1,1,2,0,2	0,2,2,4,0,4	0,12,24,28,0,18	0,31,4,35,762,658	0,31,4,35,0,658	0,0,0,0,0,0	0,0,0,0,1,0	69.json	
4340	4,4,3,3,3	0.33826902508735657,0.33826902508735657,0.006870463024824858,0.0026294172275811434,0.003079131245613098	2,2,1,1,1	2,2,1,2,2	121.34003448486328,121.34003448486328,128.31268310546875,127.59099578857422,127.17654418945312	0,0,0,0,0	0,970,1130,1513,1759	0,0,1,1,1	0,0,3,2,2	0,0,71,22,12	0,762,24,45,658	0,0,24,43,658	0,0,0,0,0	0,1,0,0,0	1155.json	
4902	10,10,10,10	0.025401216000318527,0.012635528109967709,0.012635528109967709,0.013242070563137531	3,3,3,3	3,3,3,3	103.52388000488281,103.52388000488281,103.52388000488281,103.29905700683594	0,0,0,0	0,1319,1533,2321	0,1,0,1	0,2,0,2	0,7,0,12	0,2,762,658	0,2,0,658	0,0,0,0	0,0,1,0	1110.json	
3974	3,3,3	0.624205470085144,0.624205470085144,0.7177177667617798	1,1,1	1,1,1	131.43582153320312,131.43582153320312,130.99049377441406	1,1,1	0,604,3919	0,0,1	0,0,2	0,0,13	0,762,2	0,0,2	0,0,0	0,1,1	499.json	
4280	10,11,11,11,11,14,18,14,14,15	0.5083619356155396,0.3430247902870178,0.3430247902870178,0.3567868769168854,0.3301739990711212,0.29986771941185,0.18068134784698486,0.2856822609901428,0.29618027806282043,0.23542383313179016	3,3,3,3,3,4,5,4,4,4	2,4,4,4,4,4,5,4,4,5	105.40747833251953,102.80035400390625,102.80035400390625,102.80035400390625,102.80035400390625,96.96272277832031,91.38034057617188,96.76932525634766,96.5068588256836,95.03041076660156	0,0,0,0,0,0,0,0,0,0	0,291,911,919,920,921,1069,1070,1699,3675	0,1,0,1,1,4,6,1,3,1	0,1,0,2,2,5,8,6,6,1	0,48,0,6,10,126,133,111,18,32	0,35,762,46,30,4,2,1,658,1	0,35,0,23,17,4,2,1,658,1	0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,1	611.json	
76	7,7,7,7,7	0.14493654668331146,0.14493654668331146,0.05998483672738075,0.037676796317100525,0.03506619855761528	2,2,2,2,2	4,4,4,4,4	110.8880844116211,110.8880844116211,110.40240478515625,110.83072662353516,110.83072662353516	0,0,0,0,0	0,1,1,2,3	0,0,2,3,2	0,0,4,6,4	0,0,22,89,10	0,16,13,45,8	0,5,13,43,8	0,0,0,0,0	0,0,1,0,0	1047.json	
2826	16,16,16,16	0.08026793599128723,0.06672853976488113,0.0324699841439724,0.03938532620668411	5,5,5,5	6,6,6,6	92.95836639404297,92.80681610107422,92.49203491210938,92.49203491210938	0,0,0,0	0,0,245,2823	0,1,3,2	0,2,6,4	0,9,30,51	0,45,658,53	0,43,658,53	0,0,0,0	0,0,0,1	756.json	
516	5	0.7672545909881592	1	0	121.91352844238281	0	0	0	0	0	0	0	0	0	397.json	
6227	3,3,3,3	0.28540101647377014,0.28540101647377014,0.6215104460716248,0.6215104460716248	1,1,1,1	1,1,1,1	131.43582153320312,131.43582153320312,132.25152587890625,132.25152587890625	0,0,0,0	0,231,806,2857	0,0,1,0	0,0,2,0	0,0,9,0	0,14,30,762	0,0,30,0	0,0,0,0	0,0,1,1	459.json	
2359	16,16,13	0.4411107301712036,0.44081106781959534,0.49940213561058044	5,5,4	4,4,4	93.71111297607422,93.71111297607422,98.11442565917969	0,0,0	0,0,2182	0,1,2	0,2,8	0,1,171	0,2,3	0,2,3	0,0,0	0,0,0	1145.json	
1885	5,5	0.9257772564888,0.9319372177124023	1,1	1,1	119.2291259765625,118.98002624511719	0,0	0,1066	0,1	0,2	0,35	0,51	0,51	0,0	0,0	384.json	
1885	9,11,11,11	0.2783569097518921,0.3859318196773529,0.35709598660469055,0.332650750875473	3,3,4,4	1,1,1,1	104.63906860351562,101.3088150024414,100.53617858886719,100.28133392333984	0,0,0,0	0,0,584,1066	0,11,1,1	0,20,2,2	0,115,14,18	0,1,1,51	0,1,1,51	0,0,0,0	0,0,0,0	386.json	
4904	3,3,3	0.7773609757423401,0.7773609757423401,0.790761411190033	1,1,1	1,1,1	131.28770446777344,131.28770446777344,130.85629272460938	0,0,0	0,1535,2323	0,0,1	0,0,2	0,0,6	0,762,658	0,0,658	0,0,0	0,1,0	103.json	
