Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
6425	3,3,3,3,3	0.7764579057693481,0.3623122572898865,0.3623122572898865,0.3623122572898865,0.8333464860916138	1,1,1,1,1	0,1,1,1,1	133.59722900390625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	1,1,1,1,1	0,2,2641,2664,3123	0,1,0,0,1	0,2,0,0,2	0,12,0,0,52	0,34,1592,1595,40	0,34,0,0,40	0,0,0,0,0	0,0,0,0,0	1182.json	
2451	3	0.4671535789966583	1	0	132.25152587890625	0	0	0	0	0	0	0	0	0	801.json	
3303	31,31,31,31,31,31,31	0.010975358076393604,0.01088904682546854,0.011124067939817905,0.011283528059720993,0.01198833342641592,0.012995786964893341,0.012481965124607086	7,7,7,7,7,7,7	8,8,8,8,8,7,7	77.91146850585938,77.94161224365234,77.8266830444336,77.76759338378906,77.83206176757812,77.9469223022461,78.00243377685547	0,0,0,0,0,0,0	0,218,657,657,2028,3187,3187	0,1,1,2,1,1,1	0,2,2,4,2,2,2	0,2,18,12,6,11,28	0,64,1727,550,79,16,8	0,64,1727,550,79,16,8	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1781.json	
6312	11,3,3,3,3,3	0.2667098343372345,0.31500038504600525,0.31500038504600525,0.31500038504600525,0.31500038504600525,0.8215287327766418	3,1,1,1,1,1	3,0,0,0,0,0	103.39551544189453,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0,0,0	0,151,2529,2552,3305,4456	0,1,0,0,0,1	0,10,0,0,0,2	0,252,0,0,0,6	0,68,1592,1595,116,37	0,59,0,0,67,37	0,0,0,0,0,0	0,0,0,0,0,0	2809.json	
2277	23,21,21	0.24170513451099396,0.25775548815727234,0.24200628697872162	4,3,3	3,4,4	86.53338623046875,88.91959381103516,88.71356201171875	0,0,0	0,1180,2050	0,1,1	0,4,2	0,92,3	0,56,23	0,56,23	0,0,0	0,0,0	1139.json	
5665	20,20,20,28,30,30,26,26,31,31,31,22,24,24	0.0490870364010334,0.02927856333553791,0.02927856333553791,0.011390271596610546,0.006395277101546526,0.006395277101546526,0.007308392785489559,0.013193927705287933,0.0051969802007079124,0.005321222823113203,0.0031564298551529646,0.002254110760986805,5.00010559335351E-4,1.7209617362823337E-4	5,5,5,7,7,7,6,6,7,7,7,6,6,6	5,5,5,10,11,11,11,11,11,11,11,6,10,10	86.6594009399414,86.6594009399414,86.6594009399414,78.76950073242188,77.35417938232422,77.35417938232422,80.28543090820312,80.79873657226562,76.98963928222656,76.86532592773438,76.78977966308594,84.08348083496094,81.92315673828125,81.86406707763672	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1834,1881,1887,1903,1904,1927,2458,2898,3019,3019,3848,3890,4390	0,1,0,19,3,0,3,4,8,1,3,12,9,2	0,2,0,23,4,0,10,8,10,2,6,40,15,4	0,28,0,595,82,0,260,64,156,24,18,741,288,12	0,3,1592,2,2,1595,1,23,3,1727,550,2,27,101	0,3,0,2,2,0,1,23,3,1727,550,2,27,101	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,0,0,0,0,0,0,0,0,0	2838.json	
1413	3,3	0.4413519501686096,0.4609524607658386	1,1	1,1	131.28770446777344,130.85629272460938	0,0	0,138	0,1	0,2	0,6	0,131	0,131	0,0	0,0	1421.json	
5020	3,3,3,3	0.6806105375289917,0.6806105375289917,0.6806105375289917,0.6975687146186829	1,1,1,1	2,2,2,2	130.18594360351562,130.18594360351562,130.18594360351562,129.81976318359375	0,0,0,0	0,1236,1259,2374	0,0,0,1	0,0,0,2	0,0,0,6	0,1592,1595,1727	0,0,0,1727	0,0,0,0	0,0,0,0	711.json	
1839	13,13,3	0.15382066369056702,0.1557626873254776,0.02251005917787552	3,3,1	5,5,2	95.99949645996094,95.94925689697266,126.96322631835938	0,0,0	0,564,1665	0,1,1	0,2,15	0,24,392	0,101,30	0,101,30	0,0,1	0,0,1	2286.json	
6425	3,3,3,3,3	0.5981337428092957,0.18686100840568542,0.18686100840568542,0.18686100840568542,0.8714058995246887	1,1,1,1,1	0,1,1,1,1	133.59722900390625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	0,0,0,0,0	0,2,2641,2664,3123	0,1,0,0,1	0,2,0,0,2	0,10,0,0,52	0,34,1592,1595,40	0,34,0,0,40	0,0,0,0,0	0,0,0,0,0	1170.json	
