Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
349	3	0.16520652174949646	1	0	131.46876525878906	0	0	0	0	0	0	0	0	0	1182.json	
518	13,13,13,4	0.04449949786067009,0.04449949786067009,0.04449949786067009,0.7389006018638611	3,3,3,1	8,8,8,1	96.38685607910156,96.38685607910156,96.38685607910156,123.65223693847656	0,0,0,0	0,0,141,289	0,0,0,1	0,0,0,13	0,0,0,435	0,13,35,106	0,8,0,102	0,0,0,0	0,0,0,1	801.json	
349	6,6,7	0.03900589793920517,0.03585253283381462,0.03620511293411255	1,1,1	6,6,7	113.6697998046875,113.6697998046875,110.52943420410156	0,0,0	0,67,242	0,2,1	0,4,1	0,12,38	0,13,6	0,4,6	0,0,0	0,0,0	1139.json	
348	3	0.0	1	1	131.28770446777344	0	0	0	0	0	0	0	0	0	1170.json	
1093	3,3,3,3	0.7572261095046997,0.7572261095046997,0.7572261095046997,0.16848377883434296	1,1,1,1	0,0,0,1	130.7338104248047,130.7338104248047,130.7338104248047,129.47398376464844	0,0,0,0	0,333,420,692	0,0,0,2	0,0,0,4	0,0,0,34	0,53,259,20	0,28,39,20	0,0,0,0	0,0,0,0	1058.json	
203	3,4	0.6885448694229126,0.1263108253479004	1,2	1,4	132.25152587890625,121.38679504394531	1,0	0,138	0,3	0,5	0,91	0,70	0,67	0,0	0,0	213.json	
729	5,5,5	0.0016888255486264825,0.0016888255486264825,2.1210763952694833E-4	1,1,1	4,4,5	115.94388580322266,115.94388580322266,115.81116485595703	0,0,0	0,56,412	0,0,1	0,0,2	0,0,34	0,259,9	0,39,9	0,0,0	0,0,0	966.json	
107	3	0.10429917275905609	1	1	129.57785034179688	0	0	0	0	0	0	0	0	0	944.json	
354	3	0.6029340028762817	1	0	131.03103637695312	1	0	0	0	0	0	0	0	0	1318.json	
328	6,6	0.908389687538147,0.780815601348877	2,2	0,1	116.17046356201172,115.04146575927734	0,0	0,221	0,1	0,2	0,19	0,56	0,43	0,0	0,0	1198.json	
378	3	0.7892656326293945	1	1	131.75106811523438	0	0	0	0	0	0	0	0	0	101.json	
269	3,3	0.5738527774810791,0.5738527774810791	1,1	0,0	133.59722900390625,133.59722900390625	0,0	0,9	0,0	0,0	0,0	0,37	0,33	0,0	0,1	462.json	
346	17,17	0.004632631316781044,0.005367834586650133	5,5	11,11	90.26041412353516,90.30785369873047	0,0	0,4	0,2	0,4	0,77	0,4	0,4	0,0	0,0	1449.json	
