Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2652	3	0.0010375253623351455	1	2	127.19728088378906	0	0	0	0	0	0	0	0	0	11972.json	
1167	3	0.28048375248908997	1	1	128.91311645507812	0	0	0	0	0	0	0	0	0	1182.json	
1167	4	0.8865149021148682	2	1	123.32949829101562	0	0	0	0	0	0	0	0	0	3371.json	
2338	7,7	0.40915247797966003,0.5139580368995667	2,2	1,1	112.77070617675781,113.13916015625	0,0	0,0	0,1	0,2	0,3	0,3	0,3	0,0	0,0	11749.json	
1167	3	0.7109339237213135	1	0	131.91592407226562	0	0	0	0	0	0	0	0	0	801.json	
2755	18,25,26,26	0.0851881355047226,0.0027596724685281515,0.0027340492233633995,0.002889019437134266	5,7,7,7	5,10,10,10	89.82191467285156,81.6490707397461,81.0136947631836,81.0136947631836	0,0,0,0	0,0,1820,1972	0,14,1,1	0,20,2,2	0,488,18,4	0,37,1726,908	0,37,1726,908	0,0,0,0	0,0,0,0	14173.json	
3658	3,3,3	0.9107882380485535,0.9107882380485535,0.9058672785758972	1,1,1	0,0,0	131.1535186767578,131.1535186767578,131.1535186767578	0,0,0	0,294,648	0,0,1	0,0,2	0,0,13	0,3732,8	0,0,8	0,0,0	0,0,0	17951.json	
1167	3	0.6539360284805298	1	2	131.43582153320312	0	0	0	0	0	0	0	0	0	4804.json	
3829	3,3,3	0.54287189245224,0.5337322950363159,0.5337322950363159	1,1,1	1,1,1	130.7338104248047,130.7338104248047,130.7338104248047	0,0,0	0,465,658	0,0,0	0,0,0	0,6,0	0,3732,487	0,0,43	0,0,0	0,0,0	17104.json	
1358	3	7.041661301627755E-4	1	2	125.18699645996094	0	0	0	0	0	0	0	0	0	15992.json	
3829	3,3	0.22416895627975464,0.22416895627975464	1,1	3,3	128.4090576171875,128.4090576171875	0,0	0,465	0,0	0,0	0,0	0,3732	0,0	0,0	0,0	12156.json	
1167	11	0.03174101188778877	3	6	100.83890533447266	0	0	0	0	0	0	0	0	0	1781.json	
1167	4	0.3890622854232788	1	1	123.21045684814453	0	0	0	0	0	0	0	0	0	2809.json	
1167	3	0.3007059693336487	1	1	129.2428436279297	0	0	0	0	0	0	0	0	0	6035.json	
1167	3	0.2365110218524933	1	1	129.69032287597656	0	0	0	0	0	0	0	0	0	1139.json	
1167	5,5	0.013466491363942623,0.06292394548654556	1,1	2,2	117.1540298461914,117.73384857177734	0,0	0,118	0,1	0,2	0,6	0,89	0,89	0,0	0,0	8754.json	
1167	3,3	0.0,7.01092416420579E-4	1,1	0,0	125.71898651123047,126.28292083740234	0,0	0,118	0,1	0,2	0,4	0,429	0,429	0,0	0,0	2838.json	
3150	10,3	0.0782364159822464,0.46990180015563965	3,1	3,1	104.15782928466797,132.086669921875	0,0	0,87	0,1	0,9	0,249	0,87	0,87	0,0	0,0	12585.json	
2910	3,3	0.7707116007804871,0.7607546448707581	1,1	0,0	129.58164978027344,132.9956512451172	0,0	0,0	0,1	0,2	0,33	0,7	0,7	0,0	0,0	11122.json	
210	9,9	0.08769699186086655,0.08769699186086655	1,1	2,2	105.84141540527344,105.84141540527344	0,0	0,77	0,0	0,0	0,0	0,74	0,6	0,0	0,0	20544.json	
1167	3	0.5337322950363159	1	1	130.7338104248047	0	0	0	0	0	0	0	0	0	8541.json	
924	3,3	0.662777841091156,0.4237692356109619	1,1	0,0	131.46876525878906,129.2428436279297	0,0	0,674	0,1	0,2	0,51	0,147	0,147	0,0	0,0	1421.json	
3941	8,8	0.02283352054655552,0.02283352054655552	2,2	7,7	105.76343536376953,105.76343536376953	0,0	0,577	0,0	0,0	0,0	0,3732	0,0	0,0	0,0	18353.json	
721	3,3	0.2009568065404892,0.22384309768676758	1,1	1,1	130.85629272460938,130.45266723632812	0,0	0,3	0,1	0,2	0,7	0,11	0,11	0,0	0,1	711.json	
1167	13	0.2075432389974594	2	8	98.58712768554688	0	0	0	0	0	0	0	0	0	7648.json	
3829	3,3,3	0.04226650670170784,0.7325766682624817,0.7325766682624817	1,1,1	1,1,1	128.62307739257812,131.1535186767578,131.1535186767578	0,0,0	0,163,465	0,1,0	0,2,0	0,35,0	0,32,3732	0,32,0	0,0,0	0,0,0	13558.json	
3829	18,18,3,3,3	0.06523904204368591,0.06523904204368591,0.33826443552970886,0.3214082419872284,0.32631781697273254	6,6,1,1,1	6,6,1,1,1	90.49508666992188,90.49508666992188,129.37762451171875,129.7158966064453,129.7158966064453	0,0,0,0,0	0,465,1134,2894,3046	0,0,1,1,1	0,0,17,2,2	0,0,363,14,4	0,3732,1,1726,908	0,0,1,1726,908	0,0,0,0,0	0,0,0,0,0	16864.json	
1167	3	0.011798861436545849	1	2	129.14646911621094	0	0	0	0	0	0	0	0	0	2286.json	
