Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
995	3	0.3875032663345337	1	0	130.07347106933594	1	0	0	0	0	0	0	0	0	1182.json	
1856	3,3,3	0.9275093078613281,0.9275093078613281,0.28876277804374695	1,1,1	1,1,1	130.70933532714844,130.70933532714844,130.99049377441406	0,0,0	0,83,158	0,0,0	0,0,0	0,0,33	0,2,771	0,1,0	0,0,0	0,0,0	1781.json	
860	3	0.9991223216056824	1	1	133.18099975585938	0	0	0	0	0	0	0	0	0	2809.json	
1581	3	0.6909599900245667	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	1139.json	
1070	17,14	0.0015431438805535436,0.026322215795516968	5,5	17,14	90.08283996582031,95.04803466796875	0,0	0,139	0,8	0,21	0,454	0,6	0,6	0,0	0,0	2838.json	
999	4	0.5795608758926392	1	0	125.64796447753906	0	0	0	0	0	0	0	0	0	1421.json	
1928	4,3,3,3	0.009931056760251522,0.31270354986190796,0.31270354986190796,0.31270354986190796	1,1,1,1	2,2,2,2	123.8484878540039,130.30841064453125,130.30841064453125,130.30841064453125	0,0,0,0	0,57,155,230	0,1,0,0	0,3,0,0	0,73,0,0	0,44,85,771	0,44,44,0	0,0,0,0	0,0,0,0	2286.json	
1632	8,8	0.7957940101623535,0.7962571382522583	3,3	1,1	109.39305877685547,109.02239990234375	0,0	0,220	0,1	0,2	0,42	0,1	0,1	0,0	0,1	1170.json	
1577	12,12	0.006891561672091484,0.004499136935919523	1,1	4,4	98.93514251708984,98.77467346191406	0,0	0,1261	0,1	0,2	0,13	0,43	0,43	0,0	0,0	1359.json	
1674	3	0.023737872019410133	1	0	128.60531616210938	1	0	0	0	0	0	0	0	0	2100.json	
1790	3,3,3,3,3	0.9129460453987122,0.9080740213394165,0.9038982391357422,0.8967178463935852,0.8967178463935852	1,1,1,1,1	0,0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1,1	0,3,4,10,92	0,1,3,1,0	0,2,6,2,0	0,1,8,1,0	0,38,38,17,771	0,10,0,12,0	0,0,0,0,0	0,0,0,0,0	2080.json	
1582	5,5,6,8,8	0.0,3.4327665343880653E-4,2.3280766617972404E-4,1.7885142005980015E-4,2.6517236256040633E-4	1,1,1,2,2	9,8,11,12,11	114.74969482421875,114.99933624267578,110.3744888305664,104.81859588623047,104.99689483642578	0,0,0,0,0	0,4,6,6,193	0,2,4,6,1	0,3,6,11,2	0,77,133,50,14	0,1,9,11,35	0,1,9,11,35	0,0,0,0,0	0,0,0,0,0	2413.json	
1649	6	0.0052425796166062355	1	1	114.98188781738281	0	0	0	0	0	0	0	0	0	1589.json	
1591	3,3,3,3	0.9676652550697327,0.9676652550697327,0.970599353313446,0.9662834405899048	1,1,1,1	1,1,1,1	131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,0	0,0,1,1	0,0,1,4	0,0,2,8	0,0,7,16	0,2,45,46	0,0,25,8	0,0,0,0	0,0,1,0	1058.json	
1280	4	0.06301693618297577	1	0	123.56243133544922	0	0	0	0	0	0	0	0	0	1706.json	
1754	26,29,32,33,33,33,44,45,46,46,48,48,51,51,23,24,24,24,27,9,24,31,33,41,43,45,50	3.535380819812417E-4,2.743804070632905E-4,2.2093119332566857E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12015964090824127,0.10639301687479019,0.10556203871965408,0.10961911082267761,0.05901049077510834,0.12293422967195511,0.10961911082267761,0.0,0.0,0.0,0.0,0.0,0.0	6,7,7,7,7,7,9,10,10,10,11,11,11,11,6,6,6,6,7,2,6,7,8,9,10,10,11	14,16,21,22,22,22,25,23,24,24,22,22,21,21,9,9,9,9,11,5,9,21,21,34,34,36,39	82.04203796386719,79.25631713867188,76.46878814697266,75.77520751953125,75.77520751953125,75.80708312988281,69.60600280761719,69.07923126220703,68.61682891845703,68.61682891845703,67.80022430419922,67.71532440185547,66.73633575439453,66.67658996582031,85.63548278808594,84.8048324584961,84.77313995361328,84.77313995361328,82.0332260131836,107.4930648803711,84.77313995361328,77.65845489501953,76.21991729736328,70.73979949951172,69.6158676147461,68.46968841552734,66.07823944091797	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,7,7,10,15,16,16,25,56,114,125,274,309,327,331,362,373,648,660,702,829,861,864,886,896,1061	0,3,15,5,1,2,42,12,1,0,2,2,42,1,16,1,1,2,3,7,29,7,8,8,2,4,6	0,3,26,9,1,3,69,23,1,0,4,4,81,2,61,1,2,4,3,36,37,8,14,8,2,4,7	0,119,600,94,109,110,557,426,42,27,260,64,163,12,1677,15,9,12,82,824,746,481,66,568,45,134,129	0,24,15,7,1,1,1,2,2,771,2,5,2,2,5,1,4,21,2,2,2,7,1,7,3,7,10	0,18,15,7,1,1,1,2,2,0,2,5,2,2,5,1,4,14,2,2,2,7,1,7,3,7,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0	944.json	
1686	3	0.4127136766910553	1	1	132.086669921875	0	0	0	0	0	0	0	0	0	2743.json	
1732	3,3	0.03695756569504738,0.03695756569504738	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,34	0,0	0,0	0,0	0,771	0,0	0,0	0,0	2638.json	
1648	7	0.027359813451766968	2	2	110.7552719116211	0	0	0	0	0	0	0	0	0	1931.json	
1838	17,17,17,17,17,17,3	0.03339666873216629,0.05932559818029404,0.05752610042691231,0.046879205852746964,0.046879205852746964,0.02623838745057583,0.544370710849762	4,4,4,4,4,4,1	6,6,6,6,6,6,1	92.44053649902344,92.54418182373047,92.54418182373047,92.54418182373047,92.54418182373047,92.44053649902344,132.086669921875	0,0,0,0,0,0,1	0,6,13,26,34,61,140	0,1,1,1,1,1,0	0,2,2,2,2,2,0	0,10,12,16,0,10,474	0,3,21,20,50,9,771	0,3,21,12,50,6,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1779.json	
1754	10,10,10,10	0.11033248901367188,0.11033248901367188,0.11442933231592178,0.11442933231592178	3,3,3,3	3,3,3,3	105.0295181274414,105.0295181274414,104.85218811035156,104.85218811035156	0,0,0,0	0,56,373,472	0,0,1,2	0,0,2,4	0,0,7,10	0,771,21,2	0,0,14,2	0,0,0,0	0,0,0,0	847.json	
1520	3	0.9652870297431946	1	0	130.99049377441406	0	0	0	0	0	0	0	0	0	1318.json	
1597	3	0.5284808874130249	1	3	129.34671020507812	0	0	0	0	0	0	0	0	0	2373.json	
1110	2,11,36,37,38,44,44,45,51,42,41,41,41,41	0.9995797276496887,0.6697443127632141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	1,2,8,8,8,9,9,9,10,9,9,9,9,9	0,7,28,29,29,34,35,36,43,33,32,33,32,32	140.82913208007812,101.52803039550781,73.34986877441406,72.70640563964844,72.14544677734375,68.4466323852539,68.35834503173828,67.91104888916016,64.92729949951172,69.86556243896484,70.35137176513672,70.25155639648438,70.35137176513672,70.35137176513672	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,101,102,107,110,110,113,114,114,289	0,17,49,26,4,15,4,1,9,16,14,2,2,9	0,18,53,56,6,18,7,1,9,45,31,4,3,17	0,410,1546,137,94,397,99,26,340,1261,102,92,32,208	0,11,10,2,3,10,1,3,1,6,9,4,8,2	0,11,10,2,3,10,1,3,1,6,9,4,8,2	0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,1,0,0,0,1,1,0,0,0,0,1	1198.json	
1592	3	0.02956944704055786	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	1875.json	
1685	3,3	0.7629631161689758,0.8247016668319702	1,1	0,0	131.9385528564453,133.59722900390625	1,1	0,44	0,1	0,2	0,11	0,58	0,58	0,0	0,0	101.json	
1729	5,5	2.1493736130651087E-4,2.1493736130651087E-4	1,1	1,1	117.21340942382812,117.21340942382812	0,0	0,31	0,0	0,0	0,0	0,771	0,0	0,0	0,0	1449.json	
1590	3,3	0.2504993975162506,0.2504993975162506	1,1	0,0	130.07347106933594,130.07347106933594	1,1	0,0	0,0	0,0	0,0	0,46	0,8	0,0	0,0	488.json	
1565	4	0.004727981984615326	1	3	121.28888702392578	0	0	0	0	0	0	0	0	0	2304.json	
1611	8	0.09443412721157074	2	3	111.30977630615234	0	0	0	0	0	0	0	0	0	976.json	
1685	3	0.8730826377868652	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	8.json	
1197	2	0.011484463699162006	1	0	136.64199829101562	0	0	0	0	0	0	0	0	0	990.json	
1597	4,4,4,4,3	5.829475121572614E-4,0.0012923403410241008,1.7555264639668167E-4,3.5937080974690616E-4,0.002862268127501011	1,1,1,1,1	5,4,5,4,2	121.21139526367188,121.82937622070312,121.08299255371094,121.47811889648438,128.31268310546875	0,0,0,0,0	0,15,21,315,560	0,3,1,1,1	0,6,2,2,3	0,66,30,23,81	0,35,11,32,37	0,34,11,32,37	0,0,0,0,0	0,0,0,0,0	2419.json	
1460	3	0.6736146211624146	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	1068.json	
1648	6	0.12389376014471054	1	1	114.78617095947266	0	0	0	0	0	0	0	0	0	1929.json	
1110	3	0.24400395154953003	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	576.json	
1704	4,4	0.0020975323859602213,0.0020975323859602213	1,1	0,0	121.61679077148438,121.61679077148438	0,0	0,7	0,0	0,0	0,0	0,771	0,0	0,0	0,0	382.json	
1815	8,8,8,8,8,8,8	0.0,0.0,0.0,0.0,0.0,0.0,0.0	2,2,2,2,2,2,2	8,8,8,8,8,8,8	105.6552963256836,105.57743072509766,105.33221435546875,105.33221435546875,105.6552963256836,105.6552963256836,105.33221435546875	0,0,0,0,0,0,0	0,0,2,3,11,42,117	0,3,3,2,1,2,0	0,6,6,4,2,4,0	0,21,31,24,29,16,29	0,10,16,20,50,85,771	0,10,16,12,50,44,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1044.json	
1315	3	0.10373146086931229	1	0	129.47398376464844	1	0	0	0	0	0	0	0	0	2668.json	
