Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2825	4,7,10,10,10,10,10,10,12,12,12	0.28509795665740967,0.3517388701438904,0.34104645252227783,0.34015849232673645,0.34015849232673645,0.5373042225837708,0.5373042225837708,0.5373042225837708,0.6439187526702881,0.6439187526702881,0.4394298493862152	1,2,3,3,3,3,3,3,4,4,4	2,2,3,3,3,3,3,3,3,3,3	122.7774429321289,110.51692962646484,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,103.3031005859375,99.73906707763672,99.73906707763672,99.73906707763672	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,333,601,711,907,1148,1148,1228	0,4,6,1,0,4,0,0,9,0,1	0,5,7,2,0,7,0,0,16,0,3	0,131,149,10,0,34,0,0,283,0,70	0,3,4,3,1476,7,7,2104,35,12,33	0,3,4,3,0,7,0,0,34,0,33	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1182.json	
414	3	0.04067150875926018	1	1	129.69032287597656	0	0	0	0	0	0	0	0	0	801.json	
581	3	0.6645632386207581	1	1	129.7158966064453	0	0	0	0	0	0	0	0	0	4804.json	
2113	4,4,4	0.4677131474018097,0.5008876919746399,0.5008876919746399	1,1,1	1,1,1	124.48601531982422,124.48601531982422,124.48601531982422	0,0,0	0,58,195	0,1,0	0,2,0	0,11,0	0,2,2104	0,2,0	0,0,0	0,0,0	2809.json	
889	8,8,8,20,29,29,30,30,30,30,30,30,29,30,28,28,28,28,28,33,35,35,27,29,29	0.009049191139638424,0.009049191139638424,0.022686654701828957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5	10,10,8,14,19,19,20,20,20,20,20,23,21,23,19,19,17,17,17,20,20,20,16,17,17	106.71954345703125,106.71954345703125,106.55342102050781,87.08528900146484,79.02742004394531,79.05401611328125,78.37316131591797,78.36843872070312,78.36843872070312,77.94669342041016,77.94525909423828,77.5560302734375,78.34602355957031,77.55716705322266,79.55855560302734,79.55855560302734,80.15691375732422,80.15691375732422,80.15691375732422,76.73615264892578,75.60185241699219,75.60185241699219,81.4837875366211,79.6610336303711,79.59912872314453	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,9,22,25,28,86,86,94,219,219,225,232,287,287,287,287,287,287,308,308,386,399,399,442	0,0,1,25,14,1,3,1,0,4,1,4,1,2,11,1,18,0,1,10,4,0,16,6,1	0,0,2,32,16,2,4,2,0,8,2,8,3,3,24,2,37,0,2,15,6,0,40,9,2	0,0,57,782,510,10,59,13,0,155,11,144,79,62,365,13,444,0,8,455,77,0,1249,68,16	0,84,13,9,7,3,17,2,176,7,4,6,20,40,24,39,50,33,50,13,80,50,1,42,8	0,15,13,9,7,3,17,2,0,7,4,6,20,40,24,39,50,6,50,13,80,14,1,40,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	6035.json	
1050	3,3,4	0.002770583378151059,0.002770583378151059,0.006527940277010202	1,1,1	1,1,2	128.60531616210938,128.60531616210938,121.82937622070312	0,0,0	0,468,468	0,0,2	0,0,3	0,0,80	0,53,50	0,32,46	0,0,0	0,0,0	1139.json	
2113	3,3,3	0.03664866089820862,0.03664866089820862,0.0017890013987198472	1,1,1	0,0,0	127.51214599609375,127.51214599609375,126.63631439208984	0,0,0	0,195,1531	0,0,2	0,0,4	0,0,37	0,2104,56	0,0,56	0,0,0	0,0,0	2838.json	
1366	3	0.572073221206665	1	1	130.99049377441406	0	0	0	0	0	0	0	0	0	1421.json	
2967	3,3,3,3,3,3,3,3	0.4773508906364441,0.45715510845184326,0.4138261675834656,0.447381854057312,0.447381854057312,0.447381854057312,0.447381854057312,0.4331716299057007	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	131.75106811523438,131.75106811523438,131.75106811523438,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,1,1,1,1,1	0,21,127,127,475,1049,1643,1643	0,1,1,1,0,0,0,1	0,2,2,2,0,0,0,2	0,5,23,7,0,0,0,19	0,15,21,1,1476,2104,227,102	0,14,21,1,0,0,0,102	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	711.json	
816	3	0.919742226600647	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	2286.json	
