Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1972	8	0.4392038881778717	2	1	111.55557250976562	0	0	0	0	0	0	0	0	0	11972.json	
1992	4	0.3589109182357788	1	0	128.335205078125	1	0	0	0	0	0	0	0	0	3371.json	
1867	3	0.8722400069236755	1	0	134.26058959960938	0	0	0	0	0	0	0	0	0	11749.json	
3437	20	0.00520588643848896	7	10	87.37640380859375	0	0	0	0	0	0	0	0	0	801.json	
1029	4,4	0.6919894814491272,0.6114344000816345	1,1	0,0	125.79222106933594,126.19583892822266	0,0	0,6	0,1	0,2	0,5	0,14	0,14	0,0	0,0	14173.json	
3003	4,4	0.8453430533409119,0.8453430533409119	1,1	0,0	127.42622375488281,127.42622375488281	1,1	0,1002	0,4	0,4	0,0	0,56	0,56	0,0	0,0	4804.json	
1090	6,6,6	0.29993054270744324,0.29993054270744324,0.42424267530441284	2,2,2	1,1,1	115.643310546875,115.643310546875,115.643310546875	0,0,0	0,56,231	0,0,2	0,0,4	0,0,6	0,203,152	0,12,76	0,0,0	0,0,0	9048.json	
1638	4	0.34673890471458435	1	2	124.81353759765625	1	0	0	0	0	0	0	0	0	12156.json	
1538	4,4,4,4,4	0.437593549489975,0.7861709594726562,0.7026084065437317,0.7026084065437317,0.6972361207008362	1,1,1,1,1	1,1,1,1,1	127.59107971191406,126.94251251220703,126.19583892822266,126.19583892822266,126.19583892822266	0,0,0,0,0	0,0,1,4,57	0,1,1,0,1	0,2,2,0,2	0,12,15,0,1	0,23,22,193,15	0,23,22,63,15	0,0,0,0,0	0,0,0,0,0	1781.json	
3437	4	0.4091022312641144	1	0	126.62725830078125	0	0	0	0	0	0	0	0	0	2809.json	
3030	4,4	0.2695092558860779,0.2695092558860779	1,1	1,1	125.15235137939453,125.15235137939453	0,0	0,809	0,0	0,0	0,0	0,129	0,16	0,0	0,0	6035.json	
161	19,18,28,31	0.37557053565979004,0.49105018377304077,0.49396827816963196,0.27992597222328186	3,3,5,7	5,5,5,5	91.86959838867188,93.00936889648438,83.68357849121094,80.73262023925781	0,0,0,0	0,13,20,51	0,4,15,8	0,9,18,13	0,35,202,151	0,42,22,24	0,10,22,24	0,0,0,0	0,0,1,0	1139.json	
1376	90,85,85,85,86,27,26	0.0,0.0,0.0,0.0,0.0,0.4044055640697479,0.34087255597114563	15,14,14,14,14,5,5	49,42,42,42,40,10,10	53.13676071166992,54.821075439453125,54.79500961303711,54.821075439453125,54.57743835449219,84.8587417602539,85.59696960449219	0,0,0,0,0,0,0	0,91,117,118,270,348,1260	0,2,1,1,18,6,7	0,10,2,2,36,83,16	0,284,6,6,346,2935,92	0,40,14,19,9,4,4	0,40,14,19,9,4,4	0,0,0,0,0,0,0	0,0,0,0,0,0,0	8754.json	
1798	4	0.9471436142921448	1	0	128.335205078125	0	0	0	0	0	0	0	0	0	2838.json	
3385	9,9	0.34937894344329834,0.3760296702384949	4,4	4,4	105.89068603515625,105.89068603515625	0,0	0,831	0,2	0,4	0,6	0,93	0,93	0,0	0,0	12585.json	
2246	3,4,8,8,8,8,5,5,5,5,5,6,6	0.9936105608940125,0.1526932716369629,0.025390489026904106,0.025390489026904106,0.02598123997449875,0.02598123997449875,0.5259882211685181,0.5259882211685181,0.5259882211685181,0.5259882211685181,0.5259882211685181,0.4157086908817291,0.23855379223823547	1,1,2,2,2,2,1,1,1,1,1,2,2	0,1,5,5,5,5,2,2,2,2,2,3,3	135.83412170410156,125.79222106933594,109.49869537353516,109.49869537353516,109.49869537353516,109.49869537353516,121.91056823730469,121.91056823730469,121.91056823730469,121.91056823730469,121.91056823730469,116.9500732421875,116.04551696777344	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,2,8,30,83,91,128,131,131,231,748,1615	0,1,4,0,1,0,2,0,0,0,0,2,1	0,2,4,0,2,0,7,0,0,0,0,3,2	0,37,132,0,6,0,120,0,0,0,0,38,11	0,19,3,28,7,145,57,186,197,75,90,81,128	0,19,3,0,7,0,37,0,26,22,53,81,73	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,1	11122.json	
859	4,4	0.522534966468811,0.522534966468811	1,1	0,0	126.37059020996094,126.37059020996094	1,1	0,34	0,0	0,0	0,0	0,209	0,53	0,1	0,1	1421.json	
3437	6	0.6020022630691528	1	2	116.20022583007812	0	0	0	0	0	0	0	0	0	711.json	
1288	4	0.10810597240924835	1	0	128.936767578125	1	0	0	0	0	0	0	0	0	2286.json	
