Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
3439	3,3	0.9220659136772156,0.9146237373352051	2,2	1,1	128.69515991210938,128.69515991210938	0,0	0,719	0,1	0,2	0,14	0,393	0,393	0,0	0,0	1182.json	
3140	7,7,11,11,15	0.031992241740226746,0.031992241740226746,0.01806497573852539,0.018629593774676323,0.003749679774045944	2,2,3,3,5	3,3,5,5,6	110.10877227783203,110.10877227783203,100.9541015625,101.12551879882812,94.5865707397461	0,0,0,0,0	0,500,1697,1935,2132	0,0,5,1,10	0,0,6,2,16	0,0,98,18,183	0,1158,7,242,13	0,3,7,242,13	0,0,0,0,0	0,0,0,1,0	3371.json	
573	28,24,15	0.0012775590876117349,0.0020990322809666395,0.011141239665448666	11,10,8	4,4,1	79.58123779296875,82.95976257324219,93.89559173583984	0,0,0	0,289,292	0,16,5	0,36,22	0,170,489	0,12,29	0,12,20	0,0,0	0,0,1	801.json	
3637	3	0.9269831776618958	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	9048.json	
3906	7,7	0.7531607747077942,0.7335371375083923	2,2	2,2	113.46426391601562,113.46426391601562	0,0	0,164	0,1	0,2	0,4	0,5	0,5	0,0	0,0	1781.json	
1602	9	0.7611965537071228	3	2	107.7091293334961	0	0	0	0	0	0	0	0	0	2809.json	
3422	3	0.31774789094924927	1	1	129.47398376464844	0	0	0	0	0	0	0	0	0	1139.json	
1602	3	0.46372973918914795	1	1	130.57513427734375	1	0	0	0	0	0	0	0	0	2838.json	
3790	17	0.17627041041851044	5	1	91.46219635009766	0	0	0	0	0	0	0	0	0	8541.json	
2533	3,5,5,10,10	0.9019673466682434,0.49371853470802307,0.5614457130432129,0.14625410735607147,0.15339882671833038	2,3,3,5,5	0,1,2,5,5	128.1891326904297,116.69403076171875,116.94169616699219,102.49058532714844,102.36249542236328	1,0,0,0,0	0,0,0,706,1994	0,2,2,7,1	0,2,4,9,2	0,113,10,212,10	0,8,7,3,8	0,8,7,3,8	0,0,0,0,0	0,0,0,0,0	1421.json	
570	3	0.4060467779636383	1	1	131.43582153320312	0	0	0	0	0	0	0	0	0	711.json	
2138	3	0.9837012887001038	1	0	131.91592407226562	0	0	0	0	0	0	0	0	0	2286.json	
205	15	0.06781499832868576	4	9	93.28975677490234	0	0	0	0	0	0	0	0	0	4561.json	
3629	3	0.936991274356842	1	0	131.28770446777344	0	0	0	0	0	0	0	0	0	6661.json	
3496	24,28,27	0.022051112726330757,0.017187191173434258,0.010722586885094643	6,7,7	7,10,10	83.02732849121094,79.60916900634766,80.28876495361328	0,0,0	0,0,3259	0,12,11	0,19,24	0,95,40	0,5,130	0,5,130	0,0,0	0,0,1	1170.json	
3906	21,21,25,25,25,25	0.02278660051524639,0.006364769302308559,0.0015938534634187818,0.0016838781302794814,0.001667983247898519,0.0016522386576980352	7,7,8,8,8,8	9,11,14,14,14,14	85.65296173095703,85.2963638305664,81.23037719726562,81.30232238769531,81.33412170410156,81.36612701416016	0,0,0,0,0,0	0,232,2268,2701,3150,3153	0,1,4,1,1,1	0,2,4,2,2,2	0,42,155,8,6,6	0,318,24,242,1013,334	0,318,24,242,1013,334	0,0,1,0,0,0	0,0,1,1,0,0	1359.json	
1979	11,11,8	0.2573710083961487,0.2738753855228424,0.23975850641727448	2,2,2	3,3,2	103.02936553955078,103.18681335449219,109.12744903564453	0,0,0	0,314,1154	0,10,1	0,20,5	0,18,47	0,28,1	0,28,1	0,0,0	0,1,0	4868.json	
3297	4,4	0.6372486352920532,0.8196046352386475	1,1	0,0	124.05243682861328,124.58238983154297	0,0	0,1056	0,1	0,2	0,17	0,13	0,13	0,0	0,0	6465.json	
3629	3	0.8988140821456909	1	2	130.70933532714844	0	0	0	0	0	0	0	0	0	6633.json	
3458	3	0.8914639353752136	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	7316.json	
308	5,5,11,15	0.19472281634807587,0.17821241915225983,0.042409226298332214,0.03880869224667549	2,2,3,4	4,4,6,6	117.43657684326172,117.43657684326172,101.0268325805664,94.7928237915039	0,0,0,0	0,0,0,17	0,2,7,12	0,4,8,20	0,15,181,100	0,12,11,5	0,12,11,5	0,0,0,1	0,0,0,1	8378.json	
1302	3	0.6449756622314453	1	1	130.18890380859375	0	0	0	0	0	0	0	0	0	4857.json	
3906	4,4	0.770896315574646,0.7602413296699524	2,2	1,1	123.44467163085938,123.73262786865234	0,0	0,3150	0,1	0,2	0,6	0,1013	0,1013	0,0	0,0	5358.json	
1573	3	0.9238973259925842	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	10043.json	
3669	3,3	0.6639663577079773,0.6639663577079773	1,1	0,0	131.9385528564453,131.9385528564453	1,1	0,100	0,0	0,0	0,0	0,4	0,0	0,0	0,0	6940.json	
3532	4,7	0.5514110326766968,0.24751898646354675	1,2	0,0	125.64796447753906,113.47298431396484	0,0	0,1707	0,3	0,3	0,72	0,6	0,6	0,0	0,0	7128.json	
1295	21	0.0768786147236824	5	9	86.68937683105469	0	0	0	0	0	0	0	0	0	8631.json	
3393	3	0.8152486681938171	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	8839.json	
3906	9,9,12,14	0.6005330681800842,0.6330091953277588,0.167155921459198,0.15203635394573212	2,2,3,3	3,3,5,5	107.34870910644531,107.34870910644531,99.68828582763672,96.96327209472656	0,0,0,0	0,521,730,3148	0,1,3,5	0,2,3,8	0,22,162,16	0,8,9,6	0,8,9,6	0,0,0,0	0,1,0,0	5893.json	
3906	9,9,13,13,17,17	0.048210058361291885,0.048210058361291885,0.0522860586643219,0.05357286334037781,0.06864310801029205,0.07408299297094345	2,2,3,3,3,3	3,3,3,3,5,5	104.89884185791016,104.89884185791016,97.61727142333984,97.51229858398438,91.66033935546875,91.79725646972656	0,0,0,0,0,0	0,32,164,549,2521,3261	0,1,6,1,7,1	0,2,7,2,9,2	0,2,70,7,109,17	0,19,2,2,4,77	0,17,2,2,4,77	0,0,0,0,0,0	0,0,0,0,0,0	2080.json	
3401	3,3	0.5903849005699158,0.5903849005699158	1,1	0,0	132.4454345703125,132.4454345703125	1,1	0,761	0,0	0,0	0,0	0,1158	0,3	0,0	0,0	5205.json	
3375	8	0.7851810455322266	3	1	109.94093322753906	0	0	0	0	0	0	0	0	0	9287.json	
3906	3,3,3	0.9401155114173889,0.6676276922225952,0.6498333811759949	1,1,1	0,1,1	130.07347106933594,128.92515563964844,129.2428436279297	0,0,0	0,232,3150	0,1,1	0,2,2	0,23,6	0,318,1013	0,318,1013	0,0,0	0,0,0	5959.json	
3140	3,3	0.6599434614181519,0.6599434614181519	1,1	0,0	128.92515563964844,128.92515563964844	0,0	0,500	0,0	0,0	0,0	0,1158	0,3	0,0	0,0	3874.json	
