Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1205	3	0.3699394762516022	1	1	128.62307739257812	0	0	0	0	0	0	0	0	0	1781.json	
3167	3	0.3606453835964203	1	2	129.57785034179688	0	0	0	0	0	0	0	0	0	1421.json	
4639	3,3,3	0.6835629343986511,0.5302280187606812,0.5302280187606812	1,1,1	0,0,0	129.9696044921875,130.07347106933594,130.07347106933594	0,0,0	0,9,1324	0,2,0	0,4,0	0,23,0	0,97,1024	0,97,0	0,0,0	0,0,0	3874.json	
1952	12,12	0.058067142963409424,0.10156761854887009	3,3	4,4	98.66051483154297,98.99183654785156	0,0	0,266	0,2	0,4	0,16	0,32	0,32	0,0	0,0	2413.json	
3799	3,3,3,3,3	0.877632200717926,0.877632200717926,0.877632200717926,0.877632200717926,0.877632200717926	1,1,1,1,1	0,0,0,0,0	128.712890625,128.712890625,128.712890625,128.712890625,128.712890625	0,0,0,0,0	0,15,15,146,484	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,357,257,485,1024	0,1,0,0,0	0,0,0,0,0	0,0,0,1,0	1589.json	
1421	6	0.029724910855293274	2	2	113.55408477783203	0	0	0	0	0	0	0	0	0	1058.json	
4559	15,15	0.07154998183250427,0.07154998183250427	5,5	6,6	93.35672760009766,93.35672760009766	0,0	0,1244	0,0	0,0	0,0	0,1024	0,0	0,0	0,0	4217.json	
4820	3,3,3,3,3	0.006637061946094036,0.006637061946094036,0.006637061946094036,0.006637061946094036,0.006637061946094036	1,1,1,1,1	2,2,2,2,2	128.4090576171875,128.4090576171875,128.4090576171875,128.4090576171875,128.4090576171875	0,0,0,0,0	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,357,257,485,1024	0,1,0,0,0	0,0,0,0,0	0,0,0,1,0	213.json	
4820	6,6,6,6	0.8836666345596313,0.8836666345596313,0.8836666345596313,0.8836666345596313	2,2,2,2	3,3,3,3	117.45413208007812,117.45413208007812,117.45413208007812,117.45413208007812	0,0,0,0	0,1035,1167,1505	0,0,0,0	0,0,0,0	0,0,0,0	0,357,485,1024	0,1,0,0	0,0,0,0	0,0,1,0	3090.json	
1421	3	0.6269503235816956	1	1	131.28770446777344	0	0	0	0	0	0	0	0	0	966.json	
2540	4,4,8	0.7026007175445557,0.7154815793037415,0.6686187386512756	1,1,2	2,2,2	123.94486236572266,124.1488037109375,110.44464111328125	0,0,0	0,965,968	0,1,5	0,2,6	0,17,102	0,11,11	0,11,11	0,0,0	0,1,0	1706.json	
1421	6,6	0.4487232267856598,0.4288465082645416	2,2	3,3	114.54450988769531,114.54450988769531	0,0	0,172	0,1	0,2	0,13	0,2	0,2	0,0	0,1	944.json	
4150	3,3	0.9796749353408813,0.9796749353408813	2,2	0,0	129.48590087890625,129.48590087890625	1,1	0,835	0,0	0,0	0,0	0,1024	0,0	0,0	0,0	3557.json	
4410	5,5,5,5,5,5,5	0.46871039271354675,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.35491126775741577,0.37459442019462585	2,2,2,2,2,2,2	1,2,2,2,2,2,2	118.83403015136719,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234,117.91622161865234	0,0,0,0,0,0,0	0,1,625,625,757,1095,2720	0,1,0,0,0,0,5	0,2,0,0,0,0,10	0,18,0,0,0,0,26	0,15,357,257,485,1024,11	0,15,1,0,0,0,11	0,0,0,0,0,0,0	0,0,0,0,1,0,0	2743.json	
1205	3	0.80677729845047	1	1	129.7158966064453	0	0	0	0	0	0	0	0	0	1779.json	
1487	3	0.6626439690589905	1	1	130.07347106933594	0	0	0	0	0	0	0	0	0	2330.json	
1952	4,38,52,53,56,57	9.830123744904995E-4,0.0,0.0,0.0,0.0,0.0	1,6,9,9,10,10	1,24,29,30,33,34	121.27667999267578,71.39900207519531,64.28974151611328,63.834388732910156,62.22978973388672,61.906131744384766	0,0,0,0,0,0	0,361,361,403,1457,1457	0,40,22,3,5,3	0,41,30,5,5,5	0,1588,1018,105,750,97	0,1,9,2,13,3	0,1,9,2,13,3	0,0,0,0,0,0	0,0,0,0,0,0	2373.json	
4787	35,35,35,35,35	0.0,0.0,0.0,0.0,0.0	7,7,7,7,7	10,10,10,10,10	73.9135513305664,73.9135513305664,73.9135513305664,73.9135513305664,73.9135513305664	0,0,0,0,0	0,988,1002,1134,1472	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,59,357,485,1024	0,0,1,0,0	0,0,0,0,0	0,1,0,1,0	3462.json	
2113	4	0.10924206674098969	1	2	122.93054962158203	0	0	0	0	0	0	0	0	0	3165.json	
495	3	0.02700803615152836	1	1	127.94976043701172	0	0	0	0	0	0	0	0	0	3786.json	
4787	11,11,13,13,10,10,7	0.613969624042511,0.38957852125167847,0.29185205698013306,0.29185205698013306,0.42139530181884766,0.4272894263267517,0.43164023756980896	3,3,4,4,3,3,2	3,3,3,3,4,4,3	102.80992889404297,102.18502807617188,98.39208984375,98.39208984375,104.78582000732422,104.78582000732422,112.83319091796875	0,0,0,0,0,0,0	0,29,602,1472,1879,1922,2173	0,3,3,0,1,1,1	0,6,4,0,5,2,5	0,15,66,0,114,14,124	0,18,6,1024,24,1,5	0,18,6,0,24,1,5	0,1,0,0,0,0,0	0,1,0,0,0,0,0	4056.json	
