Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
673	10	0.45807892084121704	3	3	103.91152954101562	0	0	0	0	0	0	0	0	0	1182.json	
1630	3,3,3,3,3	0.7502588033676147,0.7956896424293518,0.7956896424293518,0.7956896424293518,0.5408180952072144	1,1,1,1,1	1,1,1,1,1	131.1385955810547,130.30841064453125,130.30841064453125,130.30841064453125,129.81976318359375	0,0,0,0,0	0,34,181,183,770	0,1,0,0,1	0,2,0,0,2	0,28,0,0,26	0,13,250,596,133	0,13,0,0,133	0,0,0,0,0	0,1,0,1,1	1781.json	
239	7	7.771607488393784E-4	1	3	109.48271179199219	0	0	0	0	0	0	0	0	0	1139.json	
864	3	0.7213577032089233	1	1	129.93223571777344	0	0	0	0	0	0	0	0	0	1421.json	
860	3,3	0.0,0.0	1,1	3,3	126.42160034179688,126.64292907714844	0,0	0,443	0,1	0,2	0,8	0,3	0,3	0,0	0,0	2286.json	
673	3,3	0.19767826795578003,0.03130226209759712	1,1	1,1	131.43582153320312,129.57785034179688	0,0	0,658	0,1	0,2	0,25	0,22	0,22	0,0	0,0	1170.json	
864	3	0.6840895414352417	1	1	131.28770446777344	0	0	0	0	0	0	0	0	0	1359.json	
504	3	0.001905381097458303	1	1	127.42049407958984	0	0	0	0	0	0	0	0	0	2100.json	
504	3	0.08204178512096405	1	1	129.4591827392578	0	0	0	0	0	0	0	0	0	2080.json	
1684	5,5,5,3,4,4,4,5,5,5,5,5,5	0.0016399469459429383,0.0019866004586219788,0.003941574599593878,0.008698123507201672,0.037975333631038666,0.037975333631038666,0.02768491767346859,0.011254942044615746,0.012885806150734425,0.01241521816700697,0.01241521816700697,0.01241521816700697,0.012580147944390774	1,1,1,1,1,1,1,1,1,1,1,1,1	5,5,4,2,2,2,2,6,6,6,6,6,5	117.40169525146484,117.40169525146484,117.86318969726562,128.0337677001953,123.28064727783203,123.28064727783203,123.28064727783203,116.56864166259766,116.56864166259766,116.56864166259766,116.56864166259766,116.56864166259766,116.68047332763672	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,2,2,38,42,45,45,45,236,237,449	0,5,1,1,2,0,2,4,1,1,0,0,1	0,10,2,4,3,0,4,7,2,2,0,0,2	0,40,11,64,65,0,24,168,7,6,0,0,25	0,11,3,5,5,13,20,9,15,4,317,596,41	0,11,3,5,5,3,20,9,15,4,1,0,35	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,1,1,1,1,1	1589.json	
1547	3,3,3,3,3	0.021422743797302246,0.7726573348045349,0.7477149367332458,0.7477149367332458,0.7477149367332458	1,1,1,1,1	0,0,0,0,0	127.8611831665039,132.9956512451172,133.59722900390625,133.59722900390625,133.59722900390625	1,1,0,0,0	0,58,75,99,100	0,1,1,0,0	0,2,2,0,0	0,30,7,0,0	0,15,3,317,596	0,15,3,1,0	0,1,0,0,0	0,1,0,1,1	1058.json	
1604	3,3,3,3	0.16156765818595886,0.16156765818595886,0.16156765818595886,0.16156765818595886	1,1,1,1	0,0,0,0	131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375	1,1,1,1	0,155,157,157	0,0,0,0	0,0,0,0	0,0,0,0	0,250,596,13	0,0,0,2	0,0,0,0	0,0,1,1	213.json	
456	3	0.06500136852264404	1	0	129.7158966064453	0	0	0	0	0	0	0	0	0	966.json	
619	3,3	0.5886965394020081,0.428886353969574	1,1	2,2	129.2428436279297,129.2428436279297	0,0	0,0	0,3	0,6	0,11	0,11	0,11	0,0	0,0	1706.json	
1682	3,3,3,3,3,3,3,3,3	0.9470535516738892,0.9470535516738892,0.9508856534957886,0.9508856534957886,0.9508856534957886,0.9508856534957886,0.9508856534957886,0.7698696255683899,0.7373220920562744	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	133.59722900390625,133.59722900390625,132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172,132.9956512451172,131.9385528564453,132.4454345703125	0,0,0,0,0,0,0,1,1	0,0,1,81,81,234,235,505,601	0,0,1,0,0,0,0,2,2	0,0,2,0,0,0,0,4,4	0,0,6,0,0,0,0,23,11	0,1,3,18,10,317,596,2,1	0,0,1,0,0,1,0,2,1	0,0,0,0,0,0,0,0,0	0,0,0,1,1,1,1,1,0	944.json	
595	3	0.07758401334285736	1	1	128.8092498779297	0	0	0	0	0	0	0	0	0	1931.json	
1630	3,3,3,3,5	0.12802118062973022,0.19094078242778778,0.19094078242778778,0.19094078242778778,0.8462598323822021	1,1,1,1,2	1,1,1,1,1	129.0255889892578,128.4090576171875,128.4090576171875,128.4090576171875,119.7175064086914	0,0,0,0,0	0,34,181,183,770	0,1,0,0,4	0,2,0,0,5	0,28,0,0,46	0,13,250,596,133	0,13,0,0,133	0,0,0,0,0	0,1,0,1,1	1779.json	
1304	3	5.68052870221436E-4	1	1	127.67500305175781	0	0	0	0	0	0	0	0	0	2233.json	
1055	3	0.29880496859550476	1	1	129.14646911621094	0	0	0	0	0	0	0	0	0	391.json	
597	5	0.01909390091896057	2	3	117.91622161865234	0	0	0	0	0	0	0	0	0	2330.json	
229	3	0.07677831500768661	1	2	129.69032287597656	0	0	0	0	0	0	0	0	0	1318.json	
673	12	0.026675380766391754	3	5	99.07840728759766	0	0	0	0	0	0	0	0	0	1198.json	
1664	3,3,3,3,3,3,3	0.37899506092071533,0.36274030804634094,0.36274030804634094,0.605881929397583,0.5243315696716309,0.5243315696716309,0.5243315696716309	1,1,1,1,1,1,1	2,1,1,0,0,0,0	129.14646911621094,128.712890625,128.712890625,129.93223571777344,129.93223571777344,129.93223571777344,129.93223571777344	0,0,0,0,0,0,0	0,3,10,10,25,215,217	0,1,0,2,3,0,0	0,2,0,4,6,0,0	0,10,0,28,41,0,0	0,2,2,3,10,250,596	0,2,0,3,7,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,1	1875.json	
1687	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7	0.032235875725746155,0.032235875725746155,0.032235875725746155,0.032235875725746155,0.032235875725746155,0.032235875725746155,0.022054824978113174,0.032235875725746155,0.0023610664065927267,0.0023610664065927267,0.0023610664065927267,0.0021542494650930166,0.0021161262411624193,0.0021161262411624193,0.002105501713231206,0.010488462634384632	2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3	4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,6	113.11126708984375,113.11126708984375,113.11126708984375,113.11126708984375,113.11126708984375,113.11126708984375,113.49686431884766,113.11126708984375,111.807861328125,111.807861328125,111.807861328125,110.53508758544922,110.46236419677734,110.46236419677734,110.46236419677734,107.37158203125	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,3,3,71,139,195,213,239,240,272,272,552,994,1113	0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,2	0,0,0,0,0,0,2,2,4,0,0,2,2,0,2,2	0,0,0,0,0,0,23,23,65,0,0,31,4,0,15,71	0,38,38,51,55,2,6,3,3,317,596,1,1,6,1,6	0,0,0,0,7,0,6,3,3,1,0,1,1,4,1,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1	462.json	
1604	3,3,3,3,3,3,3,3	0.012528941035270691,0.011576227843761444,0.12445046752691269,0.11918352544307709,0.040160566568374634,0.040160566568374634,0.040160566568374634,0.040160566568374634	1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2	127.8512954711914,127.8512954711914,129.12539672851562,129.12539672851562,128.60531616210938,128.60531616210938,128.60531616210938,128.60531616210938	0,0,0,0,0,0,0,0	0,4,6,7,134,155,156,157	0,3,1,1,1,0,0,0	0,6,2,2,2,0,0,0	0,3,12,3,5,0,0,0	0,10,2,3,5,38,317,596	0,4,2,2,5,0,1,0	0,0,0,0,0,0,0,0	0,1,0,0,1,0,1,1	1449.json	
574	5,5	0.0233769491314888,0.0411517396569252	1,1	2,2	118.44156646728516,118.82691955566406	0,0	0,0	0,1	0,2	0,4	0,14	0,14	0,0	0,0	454.json	
1182	8,8	0.010863613337278366,0.008898699656128883	2,2	6,6	105.33827209472656,105.33827209472656	0,0	0,0	0,3	0,6	0,18	0,3	0,3	0,0	0,0	796.json	
1485	8,8,10,10,10	0.1945888251066208,0.09470581263303757,0.16121187806129456,0.16121187806129456,0.16121187806129456	3,3,3,3,3	4,4,4,4,4	106.97517395019531,106.64490509033203,102.87239074707031,102.87239074707031,102.87239074707031	0,0,0,0,0	0,8,9,37,38	0,1,4,0,0	0,2,6,0,0	0,10,12,0,0	0,9,28,317,596	0,9,28,1,0	0,0,0,0,0	0,0,0,1,1	940.json	
1177	7	0.14237473905086517	2	2	110.83599090576172	0	0	0	0	0	0	0	0	0	488.json	
1448	8,8,8,6	0.7278181910514832,0.7278181910514832,0.7247706055641174,0.7049418687820435	2,2,2,2	1,1,1,1	110.60749816894531,110.60749816894531,110.84379577636719,115.90658569335938	0,0,0,0	0,1,143,429	0,0,1,1	0,0,2,4	0,0,8,14	0,596,269,26	0,0,242,26	0,0,0,0	0,1,0,1	2304.json	
1220	6	0.207405224442482	2	3	115.32806396484375	0	0	0	0	0	0	0	0	0	8.json	
456	3	0.882199227809906	1	0	132.9956512451172	0	0	0	0	0	0	0	0	0	990.json	
981	3	0.5655946731567383	1	1	129.7158966064453	0	0	0	0	0	0	0	0	0	541.json	
1087	8,8,8	0.4419505000114441,0.22679603099822998,0.23592562973499298	2,2,2	1,2,2	109.30946350097656,109.24699401855469,109.06755828857422	0,0,0	0,590,590	0,1,1	0,2,2	0,25,7	0,2,1	0,2,1	0,0,0	0,0,0	1068.json	
597	5	0.00257589272223413	2	3	117.182861328125	0	0	0	0	0	0	0	0	0	2327.json	
504	3	0.001432871911674738	1	1	127.42049407958984	0	0	0	0	0	0	0	0	0	1929.json	
483	3,4	0.24435879290103912,0.04530193284153938	1,1	2,3	128.712890625,122.05648803710938	0,0	0,0	0,1	0,1	0,58	0,27	0,27	0,0	0,0	576.json	
592	4,3	0.20910878479480743,0.7400749921798706	1,1	2,1	123.37332153320312,130.57513427734375	0,0	0,108	0,0	0,1	0,60	0,27	0,27	0,0	0,0	382.json	
864	15,16	7.937133777886629E-4,0.012644140049815178	4,4	16,12	94.15375518798828,93.40811157226562	0,0	0,710	0,6	0,11	0,106	0,5	0,5	0,0	0,0	1346.json	
1639	4,4,4,5,5,5,10,5,10,10,10,10,10,8,8,8,7,6,6	0.18532097339630127,0.04820572957396507,0.08016406744718552,0.013443142175674438,0.013751876540482044,0.01438258308917284,0.06273464858531952,0.01438258308917284,0.06273464858531952,0.07264285534620285,0.07264285534620285,0.07264285534620285,0.06742439419031143,0.08454661816358566,0.08454661816358566,0.08454661816358566,0.022769879549741745,0.05539076030254364,0.05539076030254364	1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,8,1,8,8,8,8,8,7,7,7,4,4,4	121.41175079345703,120.95364379882812,121.21369934082031,116.85455322265625,116.85455322265625,116.85455322265625,103.0690689086914,116.85455322265625,103.0690689086914,103.0690689086914,103.0690689086914,103.0690689086914,103.110107421875,107.64583587646484,107.64583587646484,107.64583587646484,110.77831268310547,114.54450988769531,114.54450988769531	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,1,2,3,30,34,34,34,36,42,43,143,143,190,192,199,213,1286	0,1,2,3,1,2,11,4,11,4,0,0,2,1,0,0,1,1,0	0,2,4,5,2,4,15,15,15,8,0,0,4,4,0,0,5,3,0	0,5,30,40,6,18,310,310,310,20,0,0,10,92,0,0,68,91,0	0,3,2,2,2,2,3,3,3,3,8,3,4,3,250,596,6,2,17	0,3,2,2,2,2,3,3,3,3,6,0,4,3,0,0,6,2,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1	296.json	
1547	3,3,3,3	0.9456406831741333,0.8432421088218689,0.8432421088218689,0.8432421088218689	1,1,1,1	0,0,0,0	133.59722900390625,132.4454345703125,132.4454345703125,132.4454345703125	1,1,1,1	0,58,99,100	0,1,0,0	0,2,0,0	0,5,0,0	0,15,317,596	0,15,1,0	0,1,0,0	0,1,1,1	1044.json	
456	6	0.035118814557790756	2	2	113.73401641845703	0	0	0	0	0	0	0	0	0	1010.json	
559	3,5,5	0.055495645850896835,0.16134780645370483,0.1766541749238968	1,2,2	2,2,3	126.41971588134766,118.28166961669922,117.91434478759766	0,0,0	0,319,523	0,3,1	0,4,2	0,85,20	0,1,7	0,1,7	0,0,0	0,0,1	55.json	
853	22,22,16	0.004143423866480589,0.0019046962261199951,0.015755722299218178	4,4,2	17,17,13	84.83489990234375,84.83489990234375,93.38252258300781	0,0,0	0,0,645	0,1,16	0,4,40	0,14,717	0,3,10	0,3,10	0,1,0	0,1,0	2208.json	
1181	3	0.07573917508125305	1	2	127.36779022216797	0	0	0	0	0	0	0	0	0	790.json	
559	13	0.019405867904424667	3	9	97.61727142333984	0	0	0	0	0	0	0	0	0	43.json	
988	3,3	0.36136478185653687,0.20329497754573822	1,1	1,2	130.57513427734375,129.69032287597656	0,0	0,273	0,1	0,2	0,6	0,69	0,68	0,0	0,0	658.json	
796	3	0.09975279867649078	1	1	128.8092498779297	0	0	0	0	0	0	0	0	0	1887.json	
375	3	0.7947030663490295	1	1	130.34019470214844	0	0	0	0	0	0	0	0	0	306.json	
1055	3	8.048353483900428E-4	1	1	126.56620788574219	0	0	0	0	0	0	0	0	0	400.json	
1234	12,12,16,32,3,3	5.588843487203121E-4,2.90363299427554E-4,9.602814097888768E-4,0.0,0.11887837201356888,0.23099277913570404	2,2,3,7,1,1	15,15,16,26,2,2	97.6281509399414,97.2922592163086,91.91352081298828,76.32569122314453,129.2428436279297,129.57785034179688	0,0,0,0,0,0	0,0,32,33,49,519	0,3,5,18,1,1	0,7,6,20,31,2	0,105,97,495,966,20	0,9,4,3,27,69	0,9,4,3,18,68	0,0,0,0,0,0	0,0,1,1,0,0	1557.json	
1544	3,3,3,3,3	0.34060272574424744,3.799060941673815E-4,3.799060941673815E-4,3.799060941673815E-4,0.0011909991735592484	1,2,2,2,2	3,4,4,4,4	129.57785034179688,125.77349090576172,125.77349090576172,125.77349090576172,126.0472412109375	1,0,0,0,0	0,74,96,97,242	0,2,0,0,1	0,4,0,0,2	0,65,0,0,43	0,8,317,596,1	0,8,1,0,1	0,0,0,0,0	0,1,1,1,0	1032.json	
597	5	0.07175518572330475	2	2	118.35591888427734	0	0	0	0	0	0	0	0	0	2312.json	
504	3	0.002605385147035122	1	1	128.21994018554688	0	0	0	0	0	0	0	0	0	1925.json	
1602	8,8,8,8,8,8,8,4	0.015512687154114246,0.003784839529544115,0.003784839529544115,0.003596099093556404,0.003596099093556404,0.003596099093556404,0.003596099093556404,0.0	2,2,2,2,2,2,2,1	3,3,3,3,3,3,3,2	107.4850845336914,107.1727066040039,107.1727066040039,107.31173706054688,107.31173706054688,107.31173706054688,107.31173706054688,119.84709930419922	0,0,0,0,0,0,0,0	0,1,3,3,6,153,155,157	0,3,3,1,0,0,0,3	0,6,6,2,0,0,0,10	0,57,62,7,0,0,0,192	0,10,14,5,19,250,596,16	0,10,14,5,2,0,0,16	0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0	193.json	
1468	5,5,5,5,5	0.10547906160354614,0.10547906160354614,0.10547906160354614,0.10002872347831726,0.0691591203212738	2,2,2,2,2	3,3,3,3,3	118.6711654663086,118.6711654663086,118.6711654663086,118.91511535644531,118.91511535644531	0,0,0,0,0	0,19,21,163,861	0,0,0,1,1	0,0,0,2,2	0,0,0,8,1	0,250,596,269,2	0,0,0,242,2	0,0,0,0,0	0,0,1,0,0	2299.json	
1396	6,11,4	2.981661236844957E-4,5.015846691094339E-4,0.020190289244055748	1,2,1	4,5,1	113.69478607177734,101.1590805053711,122.3560791015625	0,0,0	0,7,1381	0,6,3	0,7,13	0,167,310	0,12,22	0,12,22	0,0,0	0,1,0	1115.json	
32	4	0.23338818550109863	1	3	123.02798461914062	0	0	0	0	0	0	0	0	0	2187.json	
1055	11,3	0.7336675524711609,0.7071390748023987	4,1	3,2	101.90055084228516,128.62307739257812	0,0	0,36	0,1	0,12	0,138	0,26	0,26	0,0	0,1	496.json	
874	3	0.23082654178142548	1	2	128.70916748046875	0	0	0	0	0	0	0	0	0	104.json	
1304	3,3	5.710311233997345E-4,8.443010738119483E-4	1,1	1,1	128.25381469726562,128.14134216308594	0,0	0,444	0,1	0,2	0,7	0,133	0,133	0,0	0,1	2240.json	
