Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2678	3,3	0.38919201493263245,0.09932113438844681	1,1	0,0	128.41912841796875,128.22288513183594	0,0	0,1375	0,2	0,4	0,40	0,60	0,49	0,0	0,0	801.json	
4041	5,5,5,12	1.569364103488624E-4,0.0,0.0,0.0025394782423973083	2,2,2,4	5,5,5,8	114.26586151123047,114.06641387939453,114.06641387939453,96.00104522705078	0,0,0,0	0,121,160,1456	0,4,0,12	0,8,0,15	0,33,0,521	0,259,459,1	0,249,0,1	0,0,0,0	0,1,0,1	1781.json	
3538	4,4,5,5,5	0.01496422290802002,0.01712530478835106,9.946839418262243E-4,3.3284135861322284E-4,1.1030911991838366E-4	1,1,1,1,1	2,2,3,3,3	122.5189437866211,122.36370849609375,117.09291076660156,116.8716049194336,116.65933227539062	0,0,0,0,0	0,957,1550,1550,1552	0,2,3,1,1	0,4,5,2,2	0,16,82,6,6	0,25,18,7,9	0,25,18,7,9	0,0,0,0,0	0,0,0,0,0	2809.json	
146	19	0.0	5	13	86.06014251708984	0	0	0	0	0	0	0	0	0	1139.json	
163	31	0.0	8	8	74.60485076904297	0	0	0	0	0	0	0	0	0	2838.json	
2006	5,3	0.5562070608139038,0.5395609736442566	2,1	2,2	118.36804962158203,129.93223571777344	0,0	0,9	0,1	0,4	0,122	0,32	0,32	0,0	0,0	1421.json	
3876	3	0.9109325408935547	1	0	132.4454345703125	0	0	0	0	0	0	0	0	0	711.json	
767	7	0.14318518340587616	3	6	107.3061752319336	0	0	0	0	0	0	0	0	0	1359.json	
3280	6,6,6,6	0.0013523625675588846,0.0012943483889102936,8.490869658999145E-4,3.7325097946450114E-4	2,2,2,2	7,6,7,7	112.091064453125,112.1799545288086,112.6905288696289,111.69786834716797	0,0,0,0	0,0,0,14	0,1,1,1	0,2,2,2	0,2,12,55	0,4,3,1	0,4,3,1	0,0,0,0	0,1,1,1	2080.json	
3478	3,3	0.8063393235206604,0.7608826160430908	1,1	1,1	131.28770446777344,131.75106811523438	0,0	0,10	0,3	0,6	0,23	0,40	0,40	0,0	0,0	1589.json	
4041	4,5,5,5	0.12545594573020935,0.05452413111925125,0.05586012825369835,0.05586012825369835	1,1,1,1	2,3,3,3	123.21045684814453,118.43518829345703,118.43518829345703,118.43518829345703	0,0,0,0	0,0,121,160	0,1,1,0	0,1,2,0	0,27,5,0	0,2,259,459	0,2,249,0	0,0,0,0	0,0,1,0	1058.json	
1697	11	0.023024801164865494	4	8	99.67365264892578	0	0	0	0	0	0	0	0	0	213.json	
2950	10,10,10	0.10638057440519333,0.1063111200928688,0.10638057440519333	3,3,3	3,3,3	102.60742950439453,102.72867584228516,102.60742950439453	0,0,0	0,6,6	0,1,1	0,2,2	0,8,8	0,10,24	0,6,17	0,0,1	0,0,1	3090.json	
765	6,5,3	0.14226360619068146,0.08248162269592285,0.01480562798678875	1,1,1	3,3,2	113.40150451660156,117.04198455810547,126.87217712402344	0,0,0	0,1,145	0,3,1	0,7,4	0,83,72	0,3,52	0,3,52	0,0,0	0,0,0	1706.json	
2003	82,82	0.0,0.0	8,8	33,37	51.616825103759766,51.63550567626953	0,0	0,789	0,9	0,18	0,188	0,5	0,5	0,0	0,0	2893.json	
2598	4	0.0	1	2	120.55474090576172	0	0	0	0	0	0	0	0	0	944.json	
2581	12,12	0.0027866908349096775,2.693039714358747E-4	3,3	0,2	97.73583221435547,97.14767456054688	0,0	0,2394	0,3	0,6	0,108	0,47	0,47	0,0	0,1	2743.json	
3136	5,5,4	0.004102387465536594,0.0352104976773262,0.03146657347679138	1,1,1	3,3,3	117.93329620361328,118.6647720336914,122.5949478149414	0,0,0	0,11,1133	0,1,1	0,2,3	0,30,40	0,119,189	0,119,189	0,0,0	0,0,0	2638.json	
323	3,3	0.5855666399002075,0.6268928647041321	1,1	0,0	132.4454345703125,132.4454345703125	0,0	0,205	0,1	0,2	0,4	0,16	0,16	0,0	0,1	1931.json	
1362	7	0.34725475311279297	2	4	111.98572540283203	0	0	0	0	0	0	0	0	0	1779.json	
4047	3,3,3,3	0.9155058860778809,0.9533055424690247,0.9496099948883057,0.9496099948883057	1,1,1,1	0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,1,1,1	0,6,127,166	0,2,3,0	0,4,6,0	0,20,3,0	0,160,259,459	0,158,249,0	0,0,0,0	0,0,1,0	2233.json	
999	3,3	3.5992221091873944E-4,3.5992221091873944E-4	1,1	1,1	126.78941345214844,126.78941345214844	0,0	0,982	0,3	0,6	0,0	0,91	0,31	0,0	0,0	391.json	
4049	2,1,1,1,1,1	0.8931466937065125,0.27149301767349243,0.021909093484282494,0.5152350068092346,0.7670516967773438,0.7670516967773438	1,1,1,1,1,1	0,0,0,0,0,0	138.50709533691406,149.736083984375,148.53134155273438,149.736083984375,150.24295043945312,150.24295043945312	0,0,0,0,0,0	0,2,6,6,129,168	0,1,1,1,1,0	0,4,2,2,2,0	0,53,35,49,62,0	0,70,40,30,259,459	0,70,40,30,249,0	0,0,1,0,0,0	0,0,1,0,1,0	2330.json	
