Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
3928	4,4,4,4,3,3,3,3,3,4,4	0.5286485552787781,0.5286485552787781,0.3406820297241211,0.3406820297241211,0.193184956908226,0.18539825081825256,0.1890624314546585,0.2479012906551361,0.2479012906551361,0.3379407525062561,0.23918560147285461	1,1,1,1,1,1,1,1,1,1,1	1,1,2,2,3,3,3,3,3,2,3	125.5254898071289,125.5254898071289,124.6862564086914,124.6862564086914,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,129.12539672851562,124.6862564086914,124.4649429321289	0,0,0,0,0,0,0,0,0,0,0	0,1,1,29,54,408,408,2338,2790,3135,3157	0,0,1,0,1,1,1,1,0,2,1	0,0,2,0,3,2,2,2,0,3,2	0,0,11,0,23,26,18,15,0,23,17	0,92,107,72,106,32,41,64,1138,133,49	0,14,104,4,106,32,33,64,0,133,49	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0	1781.json	
3904	5,5,5,5,5,5,5,8,8	0.7867825031280518,0.6382516026496887,0.6382516026496887,0.6382516026496887,0.6957866549491882,0.6529688835144043,0.6957866549491882,0.5815206170082092,0.5815206170082092	1,1,1,1,1,1,1,2,2	0,0,0,0,0,0,0,1,1	121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,121.91352844238281,111.24613952636719,111.24613952636719	0,0,0,0,0,0,0,0,0	0,1,1,1,4,7,303,431,2766	0,3,0,0,3,2,2,5,0	0,6,0,0,6,4,4,6,0	0,30,0,0,58,8,8,96,0	0,47,15,15,10,10,10,8,1138	0,13,6,0,10,10,10,8,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0	1139.json	
3079	3,3,3	0.7469804286956787,0.7469804286956787,0.7469804286956787	1,1,1	1,1,1	131.43582153320312,131.43582153320312,131.43582153320312	0,0,0	0,727,1941	0,0,0	0,0,0	0,0,0	0,38,1138	0,35,0	0,0,0	0,1,0	1421.json	
3686	3,3,3,3,3,3	0.9154468178749084,0.9154468178749084,0.9154468178749084,0.9154468178749084,0.9154468178749084,0.8744056820869446	1,1,1,1,1,1	0,0,0,0,0,0	131.46876525878906,131.46876525878906,131.46876525878906,131.46876525878906,131.46876525878906,132.4454345703125	0,0,0,0,0,0	0,1,4,292,2548,3128	0,0,0,0,0,1	0,0,0,0,0,2	0,0,0,0,0,18	0,2,7,20,1138,4	0,0,5,1,0,4	0,0,0,0,0,0	0,1,1,0,0,1	711.json	
606	5	0.34728002548217773	1	1	118.99382781982422	0	0	0	0	0	0	0	0	0	1170.json	
692	3	0.2411552518606186	1	1	132.79563903808594	0	0	0	0	0	0	0	0	0	1359.json	
3397	4,3,3,3	0.9249652028083801,0.5892819166183472,0.5892819166183472,0.5904884338378906	1,1,1,1	2,1,1,1	123.66336059570312,130.99049377441406,130.99049377441406,130.99049377441406	0,0,0,0	0,1,2259,2757	0,2,0,1	0,7,0,2	0,145,0,3	0,9,1138,7	0,6,0,7	0,0,0,0	0,1,0,0	1589.json	
3905	8,8,8,8,7,8,8,8,6,6,6,6,6,6,6,6,6,6	0.23884284496307373,0.25174325704574585,0.24064306914806366,0.21925976872444153,0.48097971081733704,0.29200008511543274,0.29338786005973816,0.2767167389392853,0.066324882209301,0.06689633429050446,0.060711219906806946,0.06284182518720627,0.060711219906806946,0.0640842616558075,0.06262942403554916,0.07894226163625717,0.07894226163625717,0.04387448728084564	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	5,5,5,5,3,4,4,4,2,2,2,2,2,2,2,2,2,2	107.00715637207031,107.13563537597656,107.13563537597656,107.13563537597656,110.68449401855469,107.82999420166016,107.82999420166016,107.82999420166016,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.78408813476562,113.61531829833984,113.61531829833984,113.13695526123047	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,5,15,15,20,44,44,84,480,480,484,1573,1573,1574,2767,3106,3137,3758	0,1,1,1,1,4,2,1,3,1,1,1,1,1,0,2,0,2	0,2,2,2,3,7,4,2,9,2,2,2,2,2,0,4,0,4	0,7,25,5,73,90,6,10,172,1,12,4,4,8,8,31,0,30	0,20,11,8,5,8,4,13,3,4,18,31,22,14,1138,135,77,14	0,20,11,8,5,8,4,13,3,4,18,30,22,14,0,135,0,14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1	1058.json	
315	3	0.12178610265254974	1	0	131.9385528564453	1	0	0	0	0	0	0	0	0	213.json	
791	3,3	0.07235956192016602,0.07235956192016602	1,1	1,1	130.18594360351562,130.18594360351562	0,0	0,57	0,0	0,0	0,0	0,19	0,0	0,0	0,0	966.json	
3077	3,3,12	0.6208385229110718,0.6208385229110718,0.004819778259843588	1,1,3	1,1,4	131.43582153320312,131.43582153320312,99.28556823730469	0,0,0	0,1939,2463	0,0,10	0,0,11	0,0,371	0,1138,8	0,0,8	0,0,0	0,0,0	944.json	
1151	3,3,3,3,3	0.02743133157491684,0.02743133157491684,0.03133024647831917,0.2233985811471939,0.061365481466054916	1,1,1,1,1	1,1,1,1,1	129.2378692626953,129.2378692626953,128.91311645507812,128.91311645507812,127.50450134277344	0,0,0,0,0	0,13,186,188,360	0,0,1,1,1	0,0,2,1,2	0,0,7,71,6	0,1138,2,11,20	0,0,1,11,20	0,0,0,0,0	0,0,0,1,1	391.json	
3107	7,7,7,7	0.517302393913269,0.5122958421707153,0.517302393913269,0.0756903737783432	2,2,2,2	1,1,1,1	110.38590240478516,110.38590240478516,110.38590240478516,110.38590240478516	0,0,0,0	0,775,775,1969	0,2,2,0	0,4,4,0	0,8,8,2	0,77,71,1138	0,77,71,0	0,0,0,0	0,0,0,0	847.json	
