Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
754	3	0.38149741291999817	1	1	129.69032287597656	0	0	0	0	0	0	0	0	0	1182.json	
2220	6,6,6	0.14076411724090576,0.14076411724090576,0.13137787580490112	2,2,2	10,10,10	114.1974105834961,114.1974105834961,114.1974105834961	0,0,0	0,0,97	0,1,2	0,2,4	0,3,16	0,386,48	0,283,32	0,0,0	0,0,0	3371.json	
2353	3,3,3,3,3	0.23222139477729797,0.06368909776210785,0.06368909776210785,0.014123511500656605,0.014123511500656605	1,1,1,1,1	1,1,1,1,1	129.81976318359375,129.2428436279297,129.2428436279297,128.712890625,128.712890625	0,0,0,0,0	0,133,180,938,1440	0,1,0,1,0	0,2,0,2,0	0,7,0,11,0	0,38,960,174,1583	0,33,0,161,20	0,0,0,0,0	0,0,0,0,0	801.json	
213	3,3	0.38824722170829773,0.38917455077171326	1,1	1,1	129.05665588378906,129.05665588378906	0,0	0,1	0,1	0,2	0,7	0,163	0,163	0,0	0,0	4804.json	
358	3,3	0.3056173026561737,0.3056173026561737	1,1	1,1	132.25152587890625,132.25152587890625	1,1	0,144	0,0	0,0	0,0	0,1000	0,4	0,0	0,0	9048.json	
1082	3	0.1343335211277008	1	0	131.46876525878906	0	0	0	0	0	0	0	0	0	2809.json	
2125	4,4,4,4,4,4	0.5993042588233948,0.4156123995780945,0.4178393483161926,0.584879994392395,0.5614152550697327,0.5364177227020264	1,1,1,1,1,1	0,0,0,0,0,0	125.27178192138672,124.26470947265625,124.26470947265625,125.27178192138672,125.27178192138672,125.27178192138672	0,0,0,0,0,0	0,0,0,0,0,171	0,1,1,1,1,1	0,2,2,2,2,2	0,3,1,3,7,3	0,37,15,99,154,15	0,37,15,99,126,15	0,0,0,0,0,0	0,0,0,0,0,0	6035.json	
400	3	0.6542012691497803	1	1	132.25152587890625	1	0	0	0	0	0	0	0	0	1139.json	
1057	3,3,3	0.6594949960708618,0.49399763345718384,0.49399763345718384	1,1,1	0,0,0	132.4454345703125,132.4454345703125,132.4454345703125	0,0,0	0,699,843	0,1,0	0,2,0	0,17,0	0,83,1000	0,83,4	0,0,0	0,1,0	8754.json	
949	7,11,21	3.503168700262904E-4,0.0,0.0	2,3,6	8,13,19	108.10606384277344,97.78474426269531,84.31196594238281	0,0,0	0,0,57	0,4,13	0,4,14	0,276,483	0,2,1	0,2,1	0,0,0	0,0,0	2838.json	
767	4	0.1441471129655838	1	2	124.48601531982422	0	0	0	0	0	0	0	0	0	11122.json	
760	5,5,5,5	0.8695594668388367,0.9011351466178894,0.9201973080635071,0.9201973080635071	2,2,2,2	2,2,2,2	120.6200180053711,119.7175064086914,120.6200180053711,120.6200180053711	0,0,0,0	0,6,6,546	0,1,1,0	0,2,2,0	0,38,49,0	0,1,2,1000	0,1,2,4	0,0,0,0	0,1,1,0	8541.json	
2558	4,4,4,4,4,4,4,4,4,4	0.4911634922027588,0.4818013310432434,0.4818013310432434,0.4818013310432434,0.32236242294311523,0.23411765694618225,0.21761298179626465,0.21761298179626465,0.21761298179626465,0.2649593651294708	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	125.27178192138672,125.27178192138672,125.27178192138672,125.27178192138672,125.27178192138672,124.26470947265625,124.26470947265625,124.26470947265625,124.26470947265625,123.96263122558594	0,0,0,0,0,0,0,0,0,0	0,135,385,385,436,573,594,1644,1658,1713	0,1,0,0,1,1,1,0,0,1	0,2,0,0,2,2,2,0,0,2	0,7,0,0,10,11,6,0,0,10	0,24,316,1362,100,168,234,1583,460,48	0,18,5,0,81,153,234,20,0,48	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1421.json	
2746	5,5,5,5	0.9888515472412109,0.9883638620376587,0.9883638620376587,0.9883638620376587	1,1,1,1	3,3,3,3	121.18380737304688,121.18380737304688,121.18380737304688,121.18380737304688	0,0,0,0	0,223,573,1833	0,2,0,0	0,4,0,0	0,2,0,0	0,56,960,1583	0,56,0,20	0,0,0,0	0,0,0,0	711.json	
234	3	0.34663379192352295	1	1	132.79563903808594	0	0	0	0	0	0	0	0	0	7648.json	
2102	7,7,7	0.004660279955714941,0.004854806233197451,0.004731368739157915	1,1,1	5,5,5	110.32958984375,110.32958984375,110.39595794677734	0,0,0	0,888,1659	0,1,1	0,2,2	0,7,21	0,6,26	0,6,23	0,0,0	0,0,0	2286.json	
803	3	0.23988491296768188	1	2	127.34163665771484	0	0	0	0	0	0	0	0	0	6661.json	
2750	3,3,3,3,3,3,3,3,3	0.7464052438735962,0.7464052438735962,0.7464052438735962,0.7464052438735962,0.7464052438735962,0.7464052438735962,0.672184944152832,0.672184944152832,0.672184944152832	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1,1,1,1,1,1	0,65,137,577,577,577,744,1837,1851	0,0,0,0,0,0,2,0,0	0,0,0,0,0,0,4,0,0	0,0,0,0,0,0,38,0,0	0,4,260,85,65,960,83,1583,460	0,0,20,1,15,0,73,20,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	1170.json	
1030	3,3,3,3	0.2936829924583435,0.2936829924583435,0.2936829924583435,0.2936829924583435	1,1,1,1	1,1,1,1	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	1,1,1,1	0,116,124,130	0,0,0,0	0,0,0,0	0,0,0,0	0,1583,48,460	0,20,25,0	0,0,0,0	0,0,0,0	1359.json	
213	4	0.31961512565612793	1	1	124.1749038696289	0	0	0	0	0	0	0	0	0	4868.json	
2299	24,23,28,28,28,28,28,38,41,41	0.002028732094913721,5.62078261282295E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	6,5,6,6,6,6,6,8,8,8	14,14,19,19,19,19,19,19,22,22	83.18067932128906,84.10579681396484,78.72460174560547,78.72460174560547,78.72460174560547,78.9212646484375,78.96812438964844,72.58334350585938,71.11631774902344,70.99087524414062	0,0,0,0,0,0,0,0,0,0	0,0,0,126,126,247,253,254,527,2255	0,2,25,0,0,24,1,32,3,2	0,5,46,0,0,48,2,55,3,4	0,161,879,0,0,163,13,416,99,52	0,7,31,479,1362,8,19,6,14,85	0,7,31,0,0,8,19,6,14,85	0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,1,1	6465.json	
44	3	0.8641976714134216	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	6633.json	
2209	3,3,3,3,3,3,4	0.6240369081497192,0.6240369081497192,0.6240369081497192,0.6240369081497192,0.6555745005607605,0.6555745005607605,0.2725130021572113	1,1,1,1,1,1,1	1,1,1,1,1,1,2	133.39190673828125,133.39190673828125,133.39190673828125,133.39190673828125,132.79563903808594,132.79563903808594,126.36186218261719	0,0,0,0,0,0,0	0,36,36,115,115,1431,2165	0,0,0,0,1,0,1	0,0,0,0,2,0,1	0,0,0,0,7,0,44	0,479,1362,13,37,792,85	0,0,0,0,36,19,85	0,0,0,0,0,0,1	0,0,0,0,0,0,1	7316.json	
1760	7,13,13	0.30011627078056335,0.1231975182890892,0.1231975182890892	1,1,1	2,5,5	110.20672607421875,98.10368347167969,98.10368347167969	0,0,0	0,261,982	0,9,0	0,12,0	0,171,0	0,16,792	0,16,19	0,0,0	0,0,0	8378.json	
2655	8,9,9,9,9	0.8108554482460022,0.6571778655052185,0.6544108390808105,0.6544108390808105,0.6177491545677185	1,1,1,1,1	0,0,0,0,0	110.4758071899414,108.09527587890625,108.09527587890625,108.09527587890625,108.43931579589844	0,0,0,0,0	0,158,482,482,2318	0,2,0,0,1	0,3,0,0,2	0,73,6,0,26	0,8,20,1362,1	0,8,6,0,1	0,0,0,0,0	0,0,0,0,0	11241.json	
213	4	0.32655906677246094	1	1	124.1749038696289	0	0	0	0	0	0	0	0	0	4857.json	
2059	58,58,59	0.0,0.0,0.0	10,10,10	9,9,9	65.32124328613281,65.23278045654297,64.88990020751953	0,0,0	0,182,1214	0,1,2	0,2,3	0,13,32	0,5,121	0,5,121	0,1,0	0,1,0	5358.json	
2837	4,4,4,4,4,4,6	0.6340693235397339,0.6481229662895203,0.6481229662895203,0.6481229662895203,0.6481229662895203,0.6481229662895203,0.12024793028831482	1,1,1,1,1,1,1	2,2,2,2,2,2,4	125.28655242919922,124.69989776611328,124.69989776611328,124.69989776611328,124.69989776611328,124.69989776611328,116.40045928955078	0,0,0,0,0,0,0	0,69,69,69,617,617,1560	0,1,0,0,0,0,2	0,2,0,0,0,0,2	0,12,0,0,0,0,64	0,105,425,212,163,386,138	0,105,0,0,93,283,137	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2100.json	
961	7,8,8,11,11,11	0.0,0.0,0.0,0.0,0.0,0.0	1,1,1,2,2,2	6,6,6,9,9,9	108.33606719970703,106.06140899658203,105.88529968261719,98.60658264160156,98.60658264160156,98.60658264160156	0,0,0,0,0,0	0,116,148,189,749,749	0,3,1,3,0,1	0,5,2,3,0,2	0,116,13,235,0,5	0,80,64,2,708,527	0,80,58,2,27,332	0,0,0,0,0,0	0,0,0,0,0,0	10043.json	
541	11,8	0.8869211673736572,0.8680002093315125	3,1	1,1	104.7745361328125,112.71587371826172	0,0	0,446	0,3	0,10	0,149	0,8	0,8	0,0	0,0	6940.json	
2423	3,3,3,3	0.9162076711654663,0.9162076711654663,0.9162076711654663,0.9162076711654663	1,1,1,1	2,2,2,2	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	1,1,1,1	0,250,250,414	0,0,0,0	0,0,0,0	0,0,0,0	0,479,1362,85	0,0,0,2	0,0,0,0	0,0,0,0	7128.json	
997	3,3	0.9080740213394165,0.9080740213394165	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,783	0,0	0,0	0,0	0,1000	0,4	0,0	0,0	8631.json	
444	8,8	0.33406028151512146,0.33406028151512146	1,1	1,1	111.1270980834961,111.1270980834961	0,0	0,230	0,0	0,0	0,0	0,1000	0,4	0,0	0,0	8839.json	
899	9	2.4956624838523567E-4	2	5	102.91619110107422	0	0	0	0	0	0	0	0	0	11075.json	
1962	4,4	0.0050641270354390144,0.005896694026887417	1,1	1,1	121.35575103759766,121.1530990600586	0,0	0,1117	0,1	0,2	0,10	0,148	0,148	0,0	0,0	5893.json	
2837	4,4,4,4,4,4	0.6218591928482056,0.6493536233901978,0.6493536233901978,0.6493536233901978,0.6493536233901978,0.6493536233901978	1,1,1,1,1,1	2,2,2,2,2,2	125.15235137939453,124.57742309570312,124.57742309570312,124.57742309570312,124.57742309570312,124.57742309570312	0,0,0,0,0,0	0,69,69,69,617,617	0,1,0,0,0,0	0,2,0,0,0,0	0,12,0,0,0,0	0,105,425,212,163,386	0,105,0,0,93,283	0,0,0,0,0,0	0,0,0,0,0,0	2080.json	
715	2	0.9554787874221802	1	0	142.4026641845703	0	0	0	0	0	0	0	0	0	5205.json	
2278	4,4,4,4,3,3,4,4,4,5	0.7751016020774841,0.5670533776283264,0.5670533776283264,0.5670533776283264,0.7449920177459717,0.4253230392932892,0.14753587543964386,0.06225326657295227,0.06225326657295227,0.010440993122756481	1,1,1,1,1,1,1,1,1,1	1,2,2,2,1,1,2,4,4,6	123.8484878540039,123.8484878540039,123.8484878540039,123.8484878540039,130.45266723632812,129.14646911621094,123.19084167480469,122.05010986328125,122.05010986328125,117.2905044555664	0,0,0,0,0,0,0,0,0,0	0,58,105,105,139,561,832,1834,2064,2147	0,1,0,0,1,1,1,2,0,2	0,2,0,0,3,2,1,4,0,3	0,17,0,0,61,35,65,59,0,73	0,231,316,1362,142,88,123,335,1000,47	0,231,5,0,142,88,123,335,4,47	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,1	9287.json	
1963	9,8,8,13,19,13,16	0.4550815224647522,0.05408516898751259,0.032182712107896805,2.7385246357880533E-4,0.0,5.855138879269361E-4,0.01709003373980522	2,2,2,3,3,4,4	3,4,6,13,13,11,8	104.3935317993164,107.8910903930664,104.4288330078125,94.53059387207031,88.76258087158203,94.96160125732422,91.16480255126953	0,0,0,0,0,0,0	0,1,19,42,56,476,1118	0,5,5,10,17,10,12	0,14,10,15,27,27,18	0,214,211,384,512,532,232	0,28,18,11,101,58,148	0,28,18,11,101,58,148	0,0,0,0,0,0,0	0,0,0,0,0,0,0	5959.json	
2837	9,8,8,8,9,9,9,9,9,9,9,9,8,8,5	0.022829683497548103,0.017287803813815117,0.017287803813815117,0.017287803813815117,0.025334414094686508,0.025334414094686508,0.02641121856868267,0.024804798886179924,0.02466517873108387,0.02466517873108387,0.005873524118214846,0.005951812025159597,0.004602179396897554,0.002772715175524354,0.07060373574495316	2,2,2,2,2,2,2,2,2,2,2,2,2,2,1	3,3,3,3,5,5,6,6,6,6,7,7,7,7,5	105.37268829345703,107.06146240234375,107.06146240234375,107.06146240234375,104.9856185913086,104.9856185913086,104.90372467041016,104.81694793701172,105.02461242675781,105.02461242675781,104.42578887939453,104.42578887939453,107.02287292480469,107.12062072753906,117.95133209228516	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,69,69,69,109,140,151,323,370,617,714,714,764,1446,1838	0,2,0,0,3,1,1,1,3,1,1,2,2,2,1	0,4,0,0,5,2,2,2,6,2,2,4,5,4,5	0,16,0,0,61,3,6,61,35,3,35,24,102,91,201	0,105,425,212,32,77,26,3,359,386,61,65,30,1,199	0,105,0,0,32,76,26,3,359,283,61,53,30,1,137	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	3874.json	
2690	67,60,63,63,63,63,67,63,67,75	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	22,21,23,23,23,23,24,23,24,27	12,10,9,9,9,9,9,9,9,8	58.48719787597656,61.244873046875,59.97434997558594,60.05028533935547,60.05028533935547,60.05028533935547,58.56755828857422,60.05028533935547,58.56755828857422,55.78392028808594	0,0,0,0,0,0,0,0,0,0	0,1,13,223,470,476,1208,1208,1211,2247	0,24,3,4,3,2,4,0,4,13	0,55,4,8,6,4,4,4,4,19	0,654,127,23,12,8,163,163,163,642	0,34,37,359,98,174,5,5,5,26	0,34,37,359,40,149,5,5,5,23	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,1,1,0	2413.json	
