Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1149	3	0.8860161900520325	1	0	130.57513427734375	0	0	0	0	0	0	0	0	0	11972.json	
405	6	0.041276976466178894	2	1	115.26795196533203	0	0	0	0	0	0	0	0	0	1182.json	
2532	6,6	0.29178622364997864,0.18152976036071777	1,1	1,1	115.1327896118164,114.51445770263672	0,0	0,5	0,6	0,12	0,51	0,16	0,15	0,0	0,0	3371.json	
1149	9,10,11	0.036382611840963364,0.005615461152046919,0.014971476048231125	3,3,3	2,3,5	107.0018539428711,103.69722747802734,101.05069732666016	0,0,0	0,107,595	0,1,3	0,1,3	0,70,53	0,6,7	0,6,7	0,0,0	0,0,1	11749.json	
1967	4	0.47994130849838257	1	1	125.64796447753906	0	0	0	0	0	0	0	0	0	801.json	
1779	33,34,35,35	1.4873176405671984E-4,1.2602435890585184E-4,0.0,0.0	9,9,10,10	11,11,12,12	75.31605529785156,74.83243560791016,73.72906494140625,73.54472351074219	0,0,0,0	0,223,597,1366	0,6,3,3	0,11,5,6	0,183,129,33	0,13,56,23	0,13,43,23	0,0,0,0	0,0,0,1	14173.json	
1672	3	0.10800247639417648	1	0	132.25152587890625	0	0	0	0	0	0	0	0	0	17951.json	
1917	3,3,3	0.718761146068573,0.718761146068573,0.6586374044418335	1,1,1	1,1,1	132.79563903808594,132.79563903808594,133.39190673828125	0,0,0	0,21,969	0,0,3	0,0,6	0,0,20	0,133,20	0,0,13	0,0,0	0,1,0	4804.json	
1500	4,4	0.30666711926460266,0.5657321214675903	1,1	2,2	123.46312713623047,125.02987670898438	0,0	0,201	0,1	0,2	0,36	0,67	0,67	0,0	0,1	17104.json	
1500	3	0.7141623497009277	1	2	130.70933532714844	0	0	0	0	0	0	0	0	0	15992.json	
4106	14,14,14,14,19,14,14,17,17,17,17,14,14,14,15,15	0.3579610288143158,0.3579610288143158,0.3579610288143158,0.23790979385375977,0.11410050094127655,0.7376772165298462,0.7657176852226257,0.3625878691673279,0.28331300616264343,0.24894024431705475,0.2378419041633606,0.28685635328292847,0.29874923825263977,0.3312460482120514,0.08574942499399185,0.09566491842269897	6,6,6,6,7,6,6,7,7,7,7,6,6,6,6,5	2,2,2,2,4,3,2,3,3,4,4,4,4,4,6,6	96.62181091308594,96.62181091308594,96.62181091308594,96.38296508789062,89.392333984375,96.08060455322266,96.38296508789062,91.44792175292969,91.44792175292969,91.240966796875,91.240966796875,94.91015625,94.91015625,95.06515502929688,92.91577911376953,93.3341064453125	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,984,1004,1074,1075,1087,1087,1088,1388,1389,1402,1725,1913,2042,2335,3151	0,0,0,4,9,7,1,4,3,5,1,2,1,1,2,1	0,0,0,5,13,15,2,4,6,10,2,7,2,2,3,2	0,0,0,207,303,309,24,217,38,47,4,184,4,2,110,10	0,1271,1272,1,1,1,1,1,174,250,67,6,127,141,1,1	0,0,1,1,1,1,1,1,137,247,67,6,127,141,1,1	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0	9048.json	
1770	3	0.6877762675285339	1	1	130.57513427734375	0	0	0	0	0	0	0	0	0	12156.json	
2207	3,3	0.3928951323032379,0.3928951323032379	1,1	0,0	133.59722900390625,133.59722900390625	0,0	0,324	0,0	0,0	0,0	0,202	0,188	0,0	0,1	1781.json	
2571	9,3,26	0.16664181649684906,0.5592358708381653,0.0	3,1,8	5,1,9	105.96174621582031,133.80813598632812,81.98931121826172	0,0,0	0,619,768	0,1,44	0,8,45	0,237,2355	0,42,14	0,42,14	0,0,0	0,0,0	2809.json	
2286	3	0.6170247197151184	1	1	131.43582153320312	0	0	0	0	0	0	0	0	0	6035.json	
2152	3	0.8739850521087646	1	0	132.9956512451172	0	0	0	0	0	0	0	0	0	1139.json	
2967	18,18,3,3,3,3	0.004486386198550463,0.004486386198550463,0.0,0.0,0.0,0.025034649297595024	5,5,1,1,1,1	6,6,1,1,1,0	89.7400131225586,89.7400131225586,126.07219696044922,126.07219696044922,126.07219696044922,127.61418151855469	0,0,0,0,0,0	0,21,99,299,305,314	0,0,1,0,0,1	0,0,18,0,0,2	0,0,604,0,0,64	0,138,24,160,37,13	0,108,24,96,28,4	0,1,0,0,0,0	0,1,1,0,0,1	2838.json	
2703	3,3,3,3	0.9469775557518005,0.697433352470398,0.9632734060287476,0.760384738445282	1,1,1,1	0,0,0,0	132.4454345703125,131.03103637695312,132.4454345703125,131.03103637695312	0,0,0,0	0,499,639,1003	0,3,1,1	0,6,2,2	0,33,26,17	0,165,319,371	0,161,312,369	0,0,0,0	0,0,0,0	12585.json	
1284	3	0.5698602795600891	1	0	128.46022033691406	0	0	0	0	0	0	0	0	0	11122.json	
2323	7,7	0.6751130819320679,0.7353593707084656	2,2	3,3	113.46426391601562,113.98487091064453	0,0	0,0	0,1	0,2	0,33	0,37	0,37	0,0	0,1	8541.json	
405	4	0.1286061406135559	1	1	124.71717071533203	0	0	0	0	0	0	0	0	0	1421.json	
1715	3,3,3	0.07198711484670639,0.07446721196174622,0.07446721196174622	1,1,1	2,2,2	129.58164978027344,129.58164978027344,129.58164978027344	0,0,0	0,181,288	0,2,0	0,4,0	0,5,0	0,252,128	0,252,22	0,0,0	0,0,1	18353.json	
1499	24,24	0.06740960478782654,0.07743973284959793	3,3	9,9	86.63166809082031,86.63166809082031	0,0	0,23	0,2	0,4	0,20	0,119	0,119	0,0	0,0	711.json	
