Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
5191	3,3	0.6612982153892517,0.6612982153892517	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,1567	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	1182.json	
4819	62,62,62,65,66,71,71,71	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	15,15,15,15,15,15,15,15	48,48,48,49,49,49,49,49	57.17967987060547,57.17967987060547,57.17967987060547,56.338478088378906,56.09114456176758,54.86676788330078,54.86676788330078,54.94972610473633	0,0,0,0,0,0,0,0	0,392,572,673,1195,2462,3724,3864	0,1,3,1,0,10,0,3	0,2,6,2,0,15,11,6	0,3,13,87,8,40,664,51	0,14,12,17,3379,850,33,335	0,14,12,17,1,850,33,335	0,0,0,0,0,0,0,0	0,1,1,0,0,0,0,0	3371.json	
4300	3,3	0.6169577240943909,0.6169577240943909	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,676	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	801.json	
1898	3	0.003101537236943841	1	2	127.94110107421875	0	0	0	0	0	0	0	0	0	4804.json	
1677	3	0.6405836939811707	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	1781.json	
323	3	0.4552447199821472	1	1	130.30841064453125	0	0	0	0	0	0	0	0	0	6035.json	
3944	3,3	0.6642199754714966,0.6642199754714966	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,320	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	2838.json	
2255	3	0.7443541288375854	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	1421.json	
1578	3	0.6043640375137329	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	711.json	
3236	3	0.7016817927360535	1	0	132.9956512451172	1	0	0	0	0	0	0	0	0	7648.json	
4300	3,3	0.32811984419822693,0.32811984419822693	1,1	1,1	130.7338104248047,130.7338104248047	1,1	0,676	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	2286.json	
4438	4,3	0.5000527501106262,0.5968707799911499	1,1	1,1	124.39620971679688,129.05665588378906	0,0	0,814	0,0	0,0	0,24	0,3379	0,1	0,0	0,0	6661.json	
66	9	0.08164715021848679	2	4	104.73219299316406	0	0	0	0	0	0	0	0	0	1170.json	
4819	6,6,7	0.6412578821182251,0.6412578821182251,0.6072695851325989	2,2,2	5,5,5	113.55674743652344,113.55674743652344,110.94767761230469	0,0,0	0,1195,2462	0,0,2	0,0,3	0,2,6	0,3379,850	0,1,850	0,0,0	0,0,0	1359.json	
3479	7,9,8,8	0.021702833473682404,0.02933279238641262,0.026190008968114853,0.026376254856586456	2,2,2,2	1,1,1,1	109.3565902709961,105.1993408203125,107.10742950439453,107.10742950439453	0,0,0,0	0,1123,1433,1437	0,3,1,2	0,4,3,5	0,9,6,1	0,850,4,2	0,850,4,2	0,0,0,0	0,0,0,0	4868.json	
3218	3	0.45405134558677673	1	1	129.7158966064453	0	0	0	0	0	0	0	0	0	6465.json	
5191	7,7,5,6	0.15665306150913239,0.15665306150913239,0.1625375747680664,0.16822385787963867	2,2,2,2	4,4,4,4	111.17379760742188,111.17379760742188,116.62464904785156,113.55674743652344	0,0,0,0	0,372,1567,2834	0,0,0,2	0,0,0,3	0,0,9,6	0,1078,3379,850	0,959,1,850	0,0,0,0	0,0,0,0	7316.json	
1898	3	0.042223360389471054	1	2	130.33702087402344	0	0	0	0	0	0	0	0	0	4857.json	
1746	4	0.017859647050499916	1	4	122.76004028320312	0	0	0	0	0	0	0	0	0	5358.json	
5191	3,3,3	0.7185298800468445,0.7185298800468445,0.7329100966453552	1,1,1	1,1,0	133.18099975585938,133.18099975585938,133.59722900390625	1,1,1	0,1567,3555	0,0,1	0,0,2	0,0,4	0,3379,44	0,1,44	0,0,0	0,0,0	2100.json	
4438	3,3	0.47863245010375977,0.480255126953125	1,1	1,1	129.9696044921875,129.9696044921875	1,1	0,814	0,0	0,0	0,12	0,3379	0,1	0,0	0,0	6940.json	
3760	7,8,8,9	0.21275174617767334,0.17426984012126923,0.17426984012126923,0.1823289841413498	3,3,3,3	3,4,4,4	109.6744613647461,106.66012573242188,106.66012573242188,104.66883850097656	0,0,0,0	0,54,136,1403	0,3,0,2	0,5,0,3	0,32,0,7	0,21,3379,850	0,21,1,850	0,0,0,0	0,1,0,0	7128.json	
1935	16,16	0.001511892070993781,0.001344864023849368	5,5	15,15	91.45812225341797,91.45812225341797	0,0	0,709	0,1	0,2	0,6	0,47	0,47	0,0	0,0	2080.json	
1295	10,22,25,28,27	0.0,0.0,0.0,0.0,0.0	2,4,5,6,6	4,15,16,17,17	100.7918930053711,83.38500213623047,80.7066650390625,78.1927261352539,78.84928894042969	0,0,0,0,0	0,0,6,10,12	0,19,12,5,1	0,21,20,6,3	0,653,146,99,208	0,24,28,19,5	0,24,28,19,5	0,0,0,0,0	0,1,0,0,0	5205.json	
4128	3,3,3	0.6840512156486511,0.6854547262191772,0.6854547262191772	1,1,1	0,0,0	131.28770446777344,131.28770446777344,131.28770446777344	1,1,1	0,38,504	0,0,0	0,0,0	0,12,0	0,229,3379	0,225,1	0,0,0	0,0,0	5959.json	
2213	3	0.5867108702659607	1	1	131.28770446777344	0	0	0	0	0	0	0	0	0	3874.json	
3508	3	0.8965228199958801	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	2413.json	
3375	3,3,3,3,3,3	0.8551964163780212,0.8797956109046936,0.8652230501174927,0.8684479594230652,0.8684479594230652,0.8551964163780212	1,1,1,1,1,1	0,0,0,0,0,0	132.79563903808594,131.75106811523438,130.99049377441406,131.75106811523438,131.75106811523438,132.79563903808594	0,0,0,0,0,0	0,3,168,196,196,227	0,2,1,1,0,1	0,4,2,2,0,2	0,15,55,9,0,49	0,42,62,3,12,39	0,42,60,3,4,38	0,0,0,0,0,0	0,0,0,0,0,0	1589.json	
879	3	0.8322917222976685	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	1058.json	
4090	4,4	0.041751980781555176,0.041751980781555176	1,1	4,4	122.76004028320312,122.76004028320312	0,0	0,466	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	5382.json	
1928	3	0.8323980569839478	1	0	132.4454345703125	1	0	0	0	0	0	0	0	0	213.json	
4819	3,3,3	0.736492395401001,0.7335646748542786,0.7335646748542786	1,1,1	2,1,1	129.93223571777344,130.18594360351562,130.18594360351562	0,0,0	0,381,1195	0,1,0	0,2,0	0,12,0	0,429,3379	0,424,1	0,0,0	0,0,0	6413.json	
5191	3,3,3	0.5604162812232971,0.5604162812232971,0.5604162812232971	1,1,1	0,0,0	131.28770446777344,131.28770446777344,131.28770446777344	1,1,1	0,372,1567	0,0,0	0,0,0	0,0,0	0,1078,3379	0,959,1	0,0,0	0,0,0	3090.json	
5191	3,3	0.5388467311859131,0.5388467311859131	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,1567	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	1706.json	
2017	4	0.5520046353340149	1	3	122.68119049072266	0	0	0	0	0	0	0	0	0	2893.json	
2373	9,3	0.02087077498435974,3.2714629196561873E-4	2,1	7,1	103.04866790771484,126.9422836303711	0,0	0,371	0,1	0,10	0,320	0,14	0,14	0,0	0,0	5323.json	
4819	3,8,8	0.06495127081871033,0.27937597036361694,0.27937597036361694	1,3,3	2,3,3	128.31268310546875,110.01234436035156,110.01234436035156	0,0,0	0,381,1195	0,7,0	0,9,0	0,118,0	0,429,3379	0,424,1	0,0,0	0,0,0	7207.json	
1878	3	0.5441431403160095	1	0	130.85629272460938	1	0	0	0	0	0	0	0	0	3557.json	
4819	3,3	0.2823143005371094,0.2823143005371094	1,1	3,3	129.58164978027344,129.58164978027344	0,0	0,1195	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	2743.json	
5191	3,3,3	0.3816763162612915,0.5155332088470459,0.5155332088470459	1,1,1	0,0,0	131.28770446777344,131.28770446777344,131.28770446777344	1,1,1	0,1536,1567	0,1,0	0,2,0	0,5,0	0,9,3379	0,9,1	0,0,0	0,0,0	2638.json	
4453	9,9,9,9,9	0.03858114406466484,0.07930561155080795,0.07930561155080795,0.07290299236774445,0.08621823787689209	2,4,4,4,4	9,9,9,9,9	105.23589324951172,103.71279907226562,103.71279907226562,103.71279907226562,103.71279907226562	0,0,0,0,0	0,671,829,3141,3267	0,1,0,2,2	0,2,0,4,4	0,46,0,8,16	0,1,3379,45,35	0,1,1,45,30	0,0,0,0,0	0,1,0,0,0	1931.json	
1677	3	0.6405836939811707	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	1779.json	
4286	3,3	0.7150744199752808,0.716397225856781	1,1	1,1	130.99049377441406,130.99049377441406	0,0	0,662	0,0	0,0	0,12	0,3379	0,1	0,0	0,0	2233.json	
2362	24,40,40,43,44,40,42,41,41,41,41,41,34,34,34,34,37,40,40,40,40,44,44	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	7,10,10,11,11,10,10,10,10,10,10,10,9,9,9,9,10,11,12,12,12,13,13	20,30,30,30,31,28,30,28,28,28,28,27,23,23,23,25,23,23,24,24,24,25,24	82.1741714477539,70.99939727783203,70.89620971679688,69.15299224853516,68.64562225341797,70.85443878173828,69.67570495605469,70.4361343383789,70.56245422363281,70.58729553222656,70.69192504882812,70.78005981445312,74.79552459716797,74.84123229980469,74.84123229980469,74.720703125,72.94698333740234,71.17749786376953,70.70719909667969,70.60118103027344,70.51812744140625,68.35832977294922,68.4970932006836	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,6,8,10,18,19,42,46,61,97,100,100,103,105,187,358,506,506,644,705,713,730,1147	0,28,1,8,2,2,3,0,3,1,1,1,1,1,2,2,15,11,2,2,3,5,1	0,38,2,12,3,8,4,1,6,2,2,2,11,2,4,4,29,19,4,4,6,6,2	0,905,24,180,46,160,68,53,239,40,13,10,387,18,16,30,536,171,97,14,51,140,88	0,9,1,2,1,6,12,6,3,4,9,4,1,3,17,4,1,1,15,8,2,3,10	0,9,1,2,1,6,12,6,3,4,9,4,1,3,17,4,1,1,15,8,2,3,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	6126.json	
4119	3,3	0.9911851286888123,0.9911851286888123	1,1	1,1	132.25152587890625,132.25152587890625	0,0	0,495	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	391.json	
5191	3,3	0.653750479221344,0.653750479221344	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,1567	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	7887.json	
5191	3,3	0.8414490222930908,0.8414490222930908	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,1567	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	2330.json	
4819	3,3,3	0.6165797710418701,0.3487427234649658,0.3487427234649658	1,1,1	0,1,1	129.93223571777344,130.30841064453125,130.30841064453125	1,1,1	0,366,1195	0,1,0	0,2,0	0,22,0	0,109,3379	0,105,1	0,0,0	0,0,0	847.json	
4819	3,3	0.6714463829994202,0.6714463829994202	1,1	0,0	130.85629272460938,130.85629272460938	1,1	0,1195	0,0	0,0	0,0	0,3379	0,1	0,0	0,0	1318.json	
4540	4,3,3	0.5409536957740784,0.4983176589012146,0.4983176589012146	1,1,1	2,2,2	122.4349365234375,127.09538269042969,127.09538269042969	0,0,0	0,864,916	0,1,0	0,2,0	0,9,0	0,7,3379	0,7,1	0,0,0	0,0,0	7534.json	
3217	6,7	0.0027640564367175102,0.0017788255354389548	2,2	4,5	112.1666259765625,109.09590148925781	0,0	0,0	0,1	0,1	0,40	0,2	0,2	0,0	0,1	4502.json	
