Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
42	3	0.1946452409029007	1	1	129.58164978027344	0	0	0	0	0	0	0	0	0	3371.json	
754	9,9,9,9	0.4126105010509491,0.49916309118270874,0.508492112159729,0.508492112159729	2,2,2,2	4,4,3,3	106.33470153808594,106.17925262451172,106.70701599121094,106.70701599121094	0,0,0,0	0,4,4,22	0,2,1,0	0,4,2,0	0,40,11,0	0,8,4,37	0,8,4,0	0,0,0,0	0,1,0,0	801.json	
42	3	0.5243088006973267	1	2	129.34671020507812	0	0	0	0	0	0	0	0	0	4804.json	
4845	16,16,16,19,19,19,19,20,20,20,22,22,22,23,23,23,23,24,24	0.002650116803124547,0.004641469568014145,0.008489111438393593,0.005408053286373615,0.013292192481458187,0.013292192481458187,0.013292192481458187,0.01451944187283516,0.01263278629630804,0.01263278629630804,0.006704983301460743,0.006704983301460743,0.00722943851724267,0.0011735596926882863,9.898784337565303E-4,8.867788128554821E-4,0.0011765859089791775,4.0205378900282085E-4,3.9777669007889926E-4	5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6	10,8,8,11,11,11,11,11,11,11,12,12,12,12,13,13,12,13,13	91.0323257446289,91.75096130371094,91.79801940917969,87.13265228271484,87.45823669433594,87.45823669433594,87.45823669433594,86.82206726074219,86.64834594726562,86.64834594726562,84.9244384765625,84.9244384765625,84.9244384765625,83.61589050292969,83.34256744384766,83.34256744384766,83.59088134765625,82.57977294921875,82.57977294921875	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,98,100,303,529,530,530,554,572,1856,2790,2904,4030,4051,4209,4219,4236,4707,4835	0,2,1,5,3,0,0,19,1,0,3,0,0,3,2,1,1,2,3	0,4,2,7,6,0,0,37,2,0,4,0,0,5,4,2,2,3,6	0,45,13,254,72,0,0,168,3,0,94,0,291,196,27,11,26,104,12	0,9,67,25,557,397,317,1,153,3449,1,1462,248,1,6,5,17,2,573	0,9,67,25,499,0,12,1,153,0,1,6,1,1,6,5,17,2,573	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0	9048.json	
4324	3,3,3,3,3,3,3	0.13044263422489166,0.16262361407279968,0.16262361407279968,0.16262361407279968,0.1656901240348816,0.1656901240348816,0.1656901240348816	2,2,2,2,2,2,2	3,3,3,3,3,3,3	128.17906188964844,128.17906188964844,127.10940551757812,127.10940551757812,127.10940551757812,127.10940551757812,127.10940551757812	1,1,1,1,1,1,1	0,9,135,1335,2371,2371,2387	0,2,1,0,1,0,0	0,4,2,0,2,0,0	0,15,2,0,8,0,0	0,746,4,3449,80,63,1885	0,74,4,0,72,58,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1781.json	
6054	15,33,36,36,36,34,36,36,36,36,36,36,37	0.021447524428367615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	3,8,8,8,8,8,8,8,8,8,8,8,8	6,19,19,19,16,16,22,22,22,22,21,21,21	93.61075592041016,74.567626953125,73.10214233398438,72.86286926269531,73.18404388427734,74.01136779785156,72.09989929199219,72.09989929199219,72.09989929199219,72.09989929199219,72.16940307617188,72.2673568725586,71.7157211303711	0,0,0,0,0,0,0,0,0,0,0,0,0	0,399,951,1305,1309,1781,1927,1928,3065,4117,4215,4525,5921	0,23,36,2,3,2,17,1,0,0,1,1,3	0,28,69,4,6,4,30,2,0,0,2,2,3	0,944,564,568,57,501,640,12,0,0,18,8,736	0,7,393,67,34,153,8,3,3449,1885,12,74,31	0,7,389,67,34,153,8,3,0,0,12,74,31	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,1,1,1	2809.json	
2744	3,3	0.6649388074874878,0.6649388074874878	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,803	0,0	0,0	0,0	0,145	0,0	0,0	0,0	6035.json	
364	3	0.006144158076494932	1	2	127.87090301513672	0	0	0	0	0	0	0	0	0	8754.json	
5272	3,3,3,3	0.08482139557600021,0.08379784226417542,0.08379784226417542,0.08379784226417542	1,1,1,1	3,3,3,3	128.31268310546875,128.31268310546875,128.31268310546875,128.31268310546875	0,0,0,0	0,956,2283,3335	0,1,0,0	0,2,0,0	0,6,0,0	0,557,3449,1885	0,499,0,0	0,0,0,0	0,0,0,0	2838.json	
3928	17,17,17,17	0.09243697673082352,0.09844478219747543,0.09845105558633804,0.09848243743181229	5,5,5,5	8,8,8,8	90.4903564453125,90.4903564453125,90.4903564453125,90.4903564453125	0,0,0,0	0,939,1987,3111	0,0,0,0	0,0,0,0	0,21,2,192	0,3449,1462,280	0,0,6,0	0,0,0,0	0,0,0,0	8541.json	
