Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2269	7,7,3,3,3,6,6	0.6708370447158813,0.6708370447158813,0.9745731949806213,0.9136959314346313,0.9136959314346313,0.303985059261322,0.2932325303554535	2,2,1,1,1,2,2	0,0,1,1,1,3,3	110.56603240966797,110.56603240966797,130.99049377441406,130.99049377441406,130.99049377441406,115.75135040283203,116.01045227050781	0,0,0,0,0,0,0	0,80,805,809,1418,1498,2055	0,0,3,1,0,7,1	0,0,10,2,0,10,2	0,0,127,4,0,190,7	0,9,95,5,7157,32,739	0,0,78,5,0,32,739	0,0,0,0,0,0,0	0,1,0,1,0,1,0	11972.json	
1188	3,3	0.4173741936683655,0.4173741936683655	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,338	0,0	0,0	0,0	0,7157	0,0	0,0	0,0	1182.json	
725	3,3	0.6972714066505432,0.6972714066505432	1,1	0,0	132.4454345703125,132.4454345703125	0,0	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	3371.json	
2321	10,18,18,18,19	0.030123364180326462,0.013125757686793804,0.0014900487149134278,0.0014900487149134278,0.002634401200339198	3,5,5,5,5	4,11,12,12,11	103.88645935058594,90.16734313964844,90.8763198852539,90.8763198852539,89.84900665283203	0,0,0,0,0	0,97,329,1471,1527	0,11,5,0,2	0,14,10,0,3	0,205,195,0,54	0,3,3,7157,4	0,3,3,0,4	0,0,0,0,0	0,0,1,0,0	11749.json	
122	6	0.02203506790101528	1	4	113.23621368408203	0	0	0	0	0	0	0	0	0	801.json	
2395	6,6,6,6,6,9,9	0.7648637294769287,0.7648637294769287,0.7648637294769287,0.7648637294769287,0.76301109790802,0.6509996056556702,0.6509996056556702	2,2,2,2,2,3,3	1,1,1,1,1,1,1	116.7609634399414,116.7609634399414,116.7609634399414,116.7609634399414,116.7609634399414,108.18826293945312,108.18826293945312	0,0,0,0,0,0,0	0,14,14,14,881,881,1545	0,0,0,0,1,4,0	0,0,0,0,2,5,0	0,0,0,0,7,69,0	0,673,404,411,2,2,7157	0,74,0,34,2,2,0	0,0,0,0,0,0,0	0,0,1,1,0,0,0	4804.json	
1919	8,8,19,19	0.10731438547372818,0.028003962710499763,0.0945371612906456,0.0945371612906456	2,2,4,4	3,3,6,6	110.08924102783203,109.25679779052734,91.3101577758789,91.3101577758789	0,0,0,0	0,1,1,1069	0,3,19,0	0,6,27,0	0,15,251,0	0,29,34,7157	0,29,34,0	0,0,0,0	0,0,0,0	9048.json	
2474	5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,12,7,7,10,7,6,5	0.1293344646692276,0.4971288740634918,0.4971288740634918,0.3387364447116852,0.3387364447116852,0.3387364447116852,0.3387364447116852,0.3387364447116852,0.3387364447116852,0.3387364447116852,0.3387364447116852,0.08054862171411514,0.018527988344430923,0.016842462122440338,0.009943364188075066,0.003828943707048893,0.0015183754730969667,0.0015183754730969667,9.265874396078289E-4,0.011138544417917728,0.005250605754554272,0.039454083889722824	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1	4,3,3,3,3,3,3,3,3,3,3,4,5,5,6,8,8,8,10,6,6,6	118.21444702148438,119.94457244873047,119.94457244873047,115.4979476928711,115.4979476928711,115.4979476928711,115.4979476928711,115.4979476928711,115.4979476928711,115.4979476928711,115.4979476928711,114.21735382080078,113.41614532470703,113.41614532470703,113.05016326904297,99.65290069580078,109.62039184570312,109.62039184570312,101.69605255126953,110.55292510986328,113.62841796875,117.59646606445312	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,14,23,23,75,75,75,75,93,93,93,134,209,812,842,1261,1261,1624,1736,1736,1986,2128	0,1,0,2,0,0,0,0,0,0,0,1,1,1,1,7,2,0,4,3,2,3	0,2,0,3,0,0,0,0,0,0,0,2,2,2,2,8,9,0,5,9,5,7	0,44,0,38,0,0,0,0,0,0,0,39,19,13,17,111,110,0,146,188,50,68	0,3,12,1,524,524,476,476,673,404,411,13,3,24,3,3,5,7157,2,4,6,99	0,3,11,1,1,39,0,50,74,0,34,13,3,24,3,3,5,0,2,4,6,99	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0	2809.json	
1942	8,9,9,9,9	0.3281007707118988,0.11640394479036331,0.11640394479036331,0.11640394479036331,0.11640394479036331	3,3,3,3,3	3,5,5,5,5	108.27788543701172,105.29252624511719,105.29252624511719,105.29252624511719,105.29252624511719	0,0,0,0,0	0,1,656,1092,1212	0,2,0,0,0	0,3,0,0,0	0,43,0,0,0	0,1,16,7157,44	0,1,1,0,1	0,0,0,0,0	0,1,1,0,1	6035.json	
1395	3,3	0.5613346099853516,0.5613346099853516	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,545	0,0	0,0	0,0	0,7157	0,0	0,0	0,0	1139.json	
2280	18,14,14	0.1030421257019043,0.16808158159255981,0.16808158159255981	3,3,3	7,6,6	91.71749114990234,96.2446517944336,96.2446517944336	0,0,0	0,1295,1429	0,2,0	0,8,0	0,65,0	0,33,7157	0,33,0	0,0,0	0,0,0	8754.json	
2090	3,3	6.043301546014845E-4,6.043301546014845E-4	1,1	0,0	131.28770446777344,131.28770446777344	1,1	0,1240	0,0	0,0	0,0	0,7157	0,0	0,0	0,0	2838.json	
1445	3,3	0.8153303861618042,0.8153303861618042	1,1	0,0	132.4454345703125,132.4454345703125	1,1	0,594	0,0	0,0	0,0	0,7157	0,0	0,0	0,0	11122.json	
100	14	3.463334869593382E-4	3	15	93.57299041748047	0	0	0	0	0	0	0	0	0	8541.json	
1104	4,4,4	0.6407331228256226,0.6407331228256226,0.6407331228256226	2,2,2	0,0,0	122.79798126220703,122.79798126220703,122.79798126220703	1,1,1	0,253,549	0,0,2	0,0,4	0,0,2	0,7157,294	0,0,294	0,0,0	0,0,1	1421.json	
852	3,3	0.7326014637947083,0.7326014637947083	1,1	0,0	132.4454345703125,132.4454345703125	1,1	0,2	0,0	0,0	0,0	0,7157	0,0	0,0	0,0	711.json	
