Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
374	3	0.7708965539932251	1	0	131.9385528564453	1	0	0	0	0	0	0	0	0	1182.json	
646	3,3,3,3	0.22079285979270935,0.22079285979270935,0.22079285979270935,0.22079285979270935	1,1,1,1	0,0,0,0	132.4454345703125,132.4454345703125,132.4454345703125,132.4454345703125	1,1,1,1	0,8,58,77	0,0,0,0	0,0,0,0	0,0,0,0	0,234,65,265	0,204,32,227	0,0,0,0	0,0,0,0	3371.json	
678	5,5,5	0.002890725852921605,0.002699722535908222,0.10062751173973083	1,1,1	2,2,4	117.09105682373047,117.09105682373047,117.79822540283203	0,0,0	0,92,446	0,2,5	0,4,10	0,21,174	0,70,74	0,70,73	0,0,0	0,0,1	1781.json	
1016	3,3,3,3	0.9289069771766663,0.8859682679176331,0.9601302742958069,0.9379227757453918	1,1,1,1	0,0,0,0	133.59722900390625,131.28770446777344,132.61029052734375,132.61029052734375	1,1,1,0	0,468,603,611	0,2,2,1	0,4,4,2	0,9,5,4	0,11,114,227	0,11,91,227	0,0,0,0	0,0,0,0	2809.json	
565	3,3,3	0.8982837796211243,0.8295742869377136,0.8896377086639404	1,1,1	1,1,1	133.18099975585938,133.18099975585938,133.18099975585938	0,0,0	0,54,161	0,1,1	0,2,2	0,5,4	0,166,227	0,122,227	0,0,0	0,0,0	2838.json	
939	3,3	0.4649346172809601,0.7145911455154419	1,1	2,2	130.99049377441406,131.91592407226562	1,1	0,257	0,1	0,2	0,6	0,204	0,203	0,0	0,0	1421.json	
673	3	0.7715683579444885	1	0	133.59722900390625	0	0	0	0	0	0	0	0	0	711.json	
655	3,3,3	0.9674149751663208,0.9739717245101929,0.9789572358131409	1,1,1	0,0,0	133.59722900390625,133.59722900390625,133.59722900390625	0,0,0	0,9,17	0,2,2	0,4,4	0,6,4	0,520,234	0,392,204	0,0,0	0,0,0	2286.json	
1360	3,3	0.9528504014015198,0.957379937171936	1,1	0,0	131.9385528564453,131.9385528564453	0,0	0,297	0,3	0,6	0,18	0,668	0,126	0,0	0,0	4868.json	
1360	3,3,3,3,3	0.9235057830810547,0.9235057830810547,0.9235057830810547,0.8953813314437866,0.965299665927887	1,1,1,1,1	0,0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,131.9385528564453	0,0,0,0,0	0,40,56,297,714	0,0,0,3,3	0,0,0,6,6	0,0,0,21,30	0,41,21,668,520	0,24,4,126,392	0,0,0,0,0	0,0,0,0,0	4857.json	
