Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2488	9	0.040706124156713486	2	3	105.46157836914062	0	0	0	0	0	0	0	0	0	1182.json	
2488	4	0.004602921660989523	1	3	120.8366928100586	0	0	0	0	0	0	0	0	0	3371.json	
1890	3	0.04244431480765343	1	1	129.2428436279297	0	0	0	0	0	0	0	0	0	801.json	
2488	4,5	0.4075051248073578,0.47226783633232117	1,1	1,2	124.05243682861328,119.84819793701172	0,0	0,193	0,2	0,3	0,61	0,470	0,470	0,0	0,0	4804.json	
1085	13,13,13,17,17	0.22080597281455994,0.22080597281455994,0.22080597281455994,0.11059913039207458,0.11985815316438675	3,3,3,4,4	2,2,2,3,3	98.320556640625,98.320556640625,98.320556640625,92.53071594238281,92.69811248779297	0,0,0,0,0	0,1,5,7,22	0,0,0,8,2	0,0,0,11,4	0,0,0,180,39	0,19,46,7,14	0,17,7,7,14	0,0,0,0,0	0,0,0,1,1	9048.json	
2488	7	3.3258312032558024E-4	1	3	109.8606185913086	0	0	0	0	0	0	0	0	0	2809.json	
3048	7,8,6,8	0.016073152422904968,0.09741123765707016,0.07355387508869171,0.09741123765707016	2,2,2,2	3,4,4,4	110.00220489501953,108.72486877441406,113.4996109008789,108.72486877441406	0,0,0,0	0,145,145,192	0,1,6,8	0,2,14,14	0,91,56,56	0,265,196,203	0,265,196,203	0,0,0,0	0,1,1,0	6035.json	
2488	9	0.040706124156713486	2	3	105.46157836914062	0	0	0	0	0	0	0	0	0	1139.json	
1854	12,18,18,20,13,14	0.023841101676225662,0.028066575527191162,0.02661421336233616,0.02205290086567402,0.2341148406267166,0.126343235373497	3,5,5,5,3,3	9,10,10,10,4,4	97.32765197753906,89.17182159423828,89.17182159423828,87.35137176513672,98.4302749633789,96.99705505371094	0,0,0,0,0,0	0,39,348,887,897,1387	0,16,1,4,2,3	0,24,2,6,11,5	0,261,6,95,384,83	0,20,13,12,10,14	0,20,9,12,10,14	0,1,0,0,1,0	0,1,0,0,1,1	8754.json	
2488	5	0.020128972828388214	1	1	117.40169525146484	0	0	0	0	0	0	0	0	0	2838.json	
840	36	6.934615666978061E-4	5	24	73.14569854736328	0	0	0	0	0	0	0	0	0	11122.json	
1428	10,10,10	0.038162294775247574,0.037326280027627945,0.15335509181022644	2,2,2	4,4,4	104.87416076660156,104.87416076660156,106.13748168945312	0,0,0	0,152,180	0,1,5	0,2,10	0,5,110	0,22,9	0,22,9	0,0,0	0,0,0	8541.json	
1618	4	0.11735525727272034	1	0	125.64796447753906	0	0	0	0	0	0	0	0	0	711.json	
1462	3	0.8437840938568115	1	0	132.9956512451172	0	0	0	0	0	0	0	0	0	7648.json	
2488	7	0.002466498641297221	1	3	110.3785629272461	0	0	0	0	0	0	0	0	0	4561.json	
3048	5,8,7,8	0.12013985961675644,0.21845965087413788,0.20071952044963837,0.21845965087413788	1,2,2,2	0,0,0,0	118.14434051513672,108.5035629272461,110.7762451171875,108.5035629272461	0,0,0,0	0,32,145,192	0,8,7,8	0,13,15,15	0,96,49,49	0,112,196,203	0,112,196,203	0,0,0,0	0,1,1,0	6661.json	
2488	3	0.6740461587905884	1	1	132.25152587890625	0	0	0	0	0	0	0	0	0	1170.json	
1345	5	0.45533984899520874	1	2	119.84819793701172	0	0	0	0	0	0	0	0	0	1359.json	
2488	9	0.040706124156713486	2	3	105.46157836914062	0	0	0	0	0	0	0	0	0	4868.json	
3048	3	0.131699800491333	1	0	129.81976318359375	1	0	0	0	0	0	0	0	0	6465.json	
3048	5,7	0.0,0.0014713924610987306	1,1	3,3	115.39620208740234,110.13446044921875	0,0	0,145	0,2	0,4	0,142	0,265	0,265	0,0	0,1	6633.json	
1402	3	0.749577522277832	1	0	131.1535186767578	1	0	0	0	0	0	0	0	0	7316.json	
2522	3	0.5068370699882507	1	1	132.25152587890625	0	0	0	0	0	0	0	0	0	8378.json	
1226	12,12	2.1278177155181766E-4,4.0581979556009173E-4	1,1	11,11	100.38345336914062,100.36831665039062	0,0	0,489	0,1	0,2	0,24	0,11	0,11	0,0	0,0	11241.json	
1028	3	0.47190746665000916	1	1	132.25152587890625	1	0	0	0	0	0	0	0	0	4857.json	
792	8	0.5755033493041992	2	0	109.36935424804688	0	0	0	0	0	0	0	0	0	5358.json	
2488	7	0.0015862290747463703	1	3	110.13446044921875	0	0	0	0	0	0	0	0	0	2100.json	
2687	20,20	0.01437033899128437,0.00918626133352518	5,5	13,13	88.72293090820312,88.58623504638672	0,0	0,126	0,1	0,2	0,12	0,239	0,239	0,0	0,0	10043.json	
868	7	0.8678460717201233	2	3	111.66191101074219	0	0	0	0	0	0	0	0	0	6940.json	
1402	3	0.6580539345741272	1	0	131.28770446777344	1	0	0	0	0	0	0	0	0	7128.json	
3037	7	0.8728625774383545	2	0	113.13916015625	0	0	0	0	0	0	0	0	0	8631.json	
2960	6,6,6	0.014913681894540787,0.01168454997241497,0.01497187465429306	2,2,2	3,3,3	113.3332290649414,113.3332290649414,113.3332290649414	0,0,0	0,1174,1174	0,3,0	0,4,2	0,162,158	0,24,19	0,16,19	0,0,0	0,0,1	8839.json	
1226	13	0.05475015193223953	1	9	98.51545715332031	0	0	0	0	0	0	0	0	0	11075.json	
840	3	0.25136250257492065	1	1	132.25152587890625	0	0	0	0	0	0	0	0	0	5893.json	
2488	3,3	0.058027222752571106,0.20703674852848053	1,1	1,1	132.25152587890625,130.70933532714844	1,1	0,175	0,2	0,4	0,51	0,83	0,83	0,0	0,0	2080.json	
2488	9	0.040706124156713486	2	3	105.46157836914062	0	0	0	0	0	0	0	0	0	5205.json	
1777	3	0.4948636591434479	1	2	131.75106811523438	1	0	0	0	0	0	0	0	0	9287.json	
3048	3	0.6900002956390381	1	1	132.25152587890625	0	0	0	0	0	0	0	0	0	5959.json	
2488	5	0.1427622139453888	1	0	117.7408218383789	0	0	0	0	0	0	0	0	0	3874.json	
2488	4	0.004602921660989523	1	3	120.8366928100586	0	0	0	0	0	0	0	0	0	2413.json	
2488	3	0.816630482673645	1	2	131.28770446777344	0	0	0	0	0	0	0	0	0	1589.json	
2790	3,3	0.1965894252061844,0.09126632660627365	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,478	0,2	0,4	0,6	0,20	0,20	0,0	0,0	1058.json	
2488	7,7,7,7	0.02310073748230934,0.027902234345674515,0.027843313291668892,0.023140031844377518	2,2,2,2	1,1,1,1	110.50746154785156,110.50746154785156,110.50746154785156,110.50746154785156	0,0,0,0	0,169,1011,1011	0,2,2,2	0,4,4,4	0,54,16,18	0,556,176,38	0,556,176,38	0,0,0,0	0,0,0,0	4689.json	
624	3	0.5981733798980713	1	1	132.25152587890625	0	0	0	0	0	0	0	0	0	5652.json	
2571	9,9,3	0.18368442356586456,0.19248956441879272,0.7045986652374268	2,2,1	5,5,2	105.88101959228516,105.88101959228516,130.30841064453125	0,0,0	0,3,212	0,1,1	0,2,8	0,4,256	0,14,401	0,14,401	0,0,0	0,0,0	10574.json	
1108	3	0.6958324909210205	1	0	131.9385528564453	1	0	0	0	0	0	0	0	0	8982.json	
2488	11	0.0070449975319206715	2	3	101.0560073852539	0	0	0	0	0	0	0	0	0	5382.json	
2488	3	0.06422136723995209	1	0	129.57785034179688	0	0	0	0	0	0	0	0	0	4217.json	
1226	7,9	0.002563710557296872,0.01431096438318491	2,2	4,3	108.97502136230469,105.2471923828125	0,0	0,35	0,4	0,6	0,98	0,78	0,71	0,1	0,1	11078.json	
