Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
5601	4,4,4,4,4,4,4,4	0.7676126956939697,0.7676126956939697,0.7676126956939697,0.7676126956939697,0.7676126956939697,0.7676126956939697,0.7676126956939697,0.7676126956939697	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	126.19583892822266,126.19583892822266,126.19583892822266,126.19583892822266,126.19583892822266,126.19583892822266,126.19583892822266,126.19583892822266	1,1,1,1,1,1,1,1	0,609,762,762,767,791,1158,1679	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,508,3537,3537,578,604,4202,100	0,0,0,0,0,93,0,71	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0	1182.json	
3269	6	0.7361380457878113	2	2	118.00019836425781	0	0	0	0	0	0	0	0	0	3371.json	
1177	11,15	0.8342663645744324,0.582525908946991	2,3	1,1	105.66390228271484,97.28182983398438	0,0	0,0	0,10	0,15	0,141	0,16	0,16	0,0	0,0	801.json	
5234	4,4,4,4,5,5,5,5,5,7,7	0.03492828086018562,0.03492828086018562,0.03492828086018562,0.03492828086018562,0.05135812237858772,0.05135812237858772,0.05058366805315018,0.05342603847384453,0.05342603847384453,0.510402500629425,0.026293564587831497	1,1,1,1,1,1,1,1,1,1,1	2,2,2,2,4,4,4,4,4,4,4	124.1488037109375,124.1488037109375,124.1488037109375,124.1488037109375,119.57592010498047,119.57592010498047,119.57592010498047,119.57592010498047,119.57592010498047,114.12506866455078,113.1471939086914	0,0,0,0,1,1,1,1,1,1,1	0,242,395,395,402,424,791,792,1781,2352,3196	0,0,0,0,5,0,0,1,0,8,1	0,0,0,0,9,0,0,2,0,13,2	0,0,0,0,54,0,1,6,0,73,18	0,2043,3537,3537,75,2462,4202,79,3504,4,6	0,0,0,0,73,418,0,79,0,4,6	0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0	4804.json	
3896	5,5,5	0.7334941029548645,0.7334941029548645,0.7334941029548645	1,1,1	1,1,1	120.53388214111328,120.53388214111328,120.53388214111328	0,0,0	0,156,442	0,0,0	0,0,0	0,0,0	0,453,3504	0,0,0	0,0,0	0,0,0	1781.json	
2983	6,8,6,6	0.06525997072458267,0.06712019443511963,0.13277702033519745,0.1743353009223938	1,2,1,1	3,4,4,4	115.48157501220703,110.08924102783203,115.63230895996094,115.04825592041016	0,0,0,0	0,132,132,1429	0,5,3,3	0,8,8,6	0,84,60,41	0,5,1,6	0,5,1,6	0,0,0,0	0,0,0,0	2809.json	
2689	9	0.07868285477161407	2	6	106.61760711669922	0	0	0	0	0	0	0	0	0	6035.json	
5414	4,9,9,9,9,9,9,9,9	0.37481775879859924,0.5105456113815308,0.5105456113815308,0.5105456113815308,0.5105456113815308,0.5105456113815308,0.4876832365989685,0.4876832365989685,0.4876832365989685	1,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1	125.39425659179688,108.33425903320312,108.33425903320312,108.33425903320312,108.33425903320312,108.33425903320312,108.69941711425781,108.69941711425781,108.69941711425781	0,0,0,0,0,0,0,0,0	0,162,422,575,575,604,968,971,1675	0,6,0,0,0,0,1,0,0	0,7,0,0,0,0,2,0,0	0,93,0,0,0,0,8,0,0	0,1,2043,3537,3537,2462,254,4202,178	0,1,0,0,0,418,254,0,2	0,0,0,0,0,0,0,0,0	0,1,0,0,1,0,0,0,0	8754.json	
3810	4,4,4,4,5,5,5,5	0.3711521327495575,0.3711521327495575,0.3711521327495575,0.3577955365180969,0.35952043533325195,0.3492126166820526,0.35952043533325195,0.3492126166820526	1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0	126.62725830078125,126.62725830078125,126.62725830078125,126.62725830078125,122.03304290771484,122.03304290771484,122.03304290771484,122.03304290771484	1,1,1,1,0,0,0,0	0,70,357,484,1337,3394,3394,3397	0,0,0,1,2,1,1,1	0,0,0,2,3,2,2,2	0,0,0,3,31,7,7,7	0,453,3504,22,14,102,102,109	0,0,0,22,14,102,102,109	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	2838.json	
1547	5,4,4	0.21893778443336487,0.6961094737052917,0.6961094737052917	1,1,1	4,1,1	118.82691955566406,125.0554428100586,125.0554428100586	0,0,0	0,0,0	0,2,0	0,5,0	0,60,0	0,21,29	0,20,8	0,0,0	0,0,0	8541.json	
310	4	0.5940427184104919	1	0	125.67974090576172	1	0	0	0	0	0	0	0	0	1421.json	
1284	6	0.1814722716808319	1	3	114.51445770263672	0	0	0	0	0	0	0	0	0	711.json	
3156	10,11	0.4767445921897888,0.46398574113845825	1,1	2,2	107.22257232666016,105.45206451416016	0,0	0,27	0,1	0,1	0,13	0,82	0,82	0,0	0,0	7648.json	
1155	47,49	0.006120529491454363,0.0029183824080973864	8,8	8,9	70.15641021728516,68.69042205810547	0,0	0,792	0,4	0,6	0,169	0,1	0,1	0,0	0,1	2286.json	
3376	16,13,8,8	0.16422514617443085,0.10848738253116608,0.321685254573822,0.321685254573822	4,3,2,2	5,6,4,4	94.05538940429688,98.54915618896484,111.14976501464844,111.14976501464844	0,0,0,0	0,175,277,285	0,2,4,0	0,6,14,0	0,71,218,0	0,1,213,8	0,1,204,0	0,0,0,0	0,0,0,0	6661.json	
5270	4,4,4,4,4,4,4,4,4,4	0.8249197602272034,0.8249197602272034,0.8249197602272034,0.8249197602272034,0.8249197602272034,0.6806692481040955,0.3276541531085968,0.3276541531085968,0.4665694236755371,0.6273988485336304	1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0	127.94984436035156,127.94984436035156,127.94984436035156,127.94984436035156,127.94984436035156,127.94984436035156,126.4930648803711,126.4930648803711,125.5254898071289,125.67974090576172	1,1,1,1,1,1,1,1,1,1	0,278,431,431,436,460,826,827,849,905	0,0,0,0,0,1,1,0,1,1	0,0,0,0,0,2,2,0,2,2	0,0,0,0,0,9,14,0,18,5	0,508,3537,3537,578,604,28,4202,32,559	0,0,0,0,0,93,28,0,32,559	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1359.json	
2777	5,8	0.1775672882795334,0.1261633038520813	1,1	7,9	117.66657257080078,107.55370330810547	0,0	0,648	0,5	0,7	0,92	0,4	0,4	0,0	0,0	4868.json	
3437	23,5,4	0.017918242141604424,0.686433732509613,0.5408884286880493	4,1,1	12,2,1	84.67719268798828,119.58580780029297,124.4649429321289	0,0,0	0,156,157	0,2,2	0,24,4	0,646,137	0,2,2	0,2,2	0,0,0	0,1,1	6465.json	
3099	4,4,5	0.006124482955783606,0.006124482955783606,0.013953879475593567	1,1,1	0,0,0	123.37702178955078,123.37702178955078,119.76210021972656	0,0,0	0,8,2971	0,0,3	0,0,5	0,0,18	0,133,6	0,16,6	0,0,0	0,0,0	6633.json	
4810	13,13,13,11,11,11,5,5,5	0.16536664962768555,0.13234791159629822,0.13234791159629822,0.45207852125167847,0.45207852125167847,0.43783730268478394,0.3983061611652374,0.46313896775245667,0.45657044649124146	3,3,3,3,3,3,1,1,1	5,5,5,2,2,2,3,3,3	99.37218475341797,99.23340606689453,99.23340606689453,104.63018035888672,104.63018035888672,104.63018035888672,118.66690826416016,118.66690826416016,118.66690826416016	0,0,0,0,0,0,0,0,0	0,365,367,1323,1356,1440,2060,2227,4243	0,2,0,1,0,2,2,1,1	0,4,0,4,0,4,10,2,2	0,16,0,102,0,16,98,17,7	0,21,4202,36,3504,34,2,2,42	0,21,0,36,0,34,2,2,42	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	7316.json	
2449	4,4	0.7277447581291199,0.7277447581291199	1,1	0,0	126.62725830078125,126.62725830078125	0,0	0,120	0,0	0,0	0,0	0,343	0,0	0,0	0,0	8378.json	
2794	4	0.44021421670913696	1	1	127.59107971191406	1	0	0	0	0	0	0	0	0	11241.json	
