Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
3312	7,4	0.09855338931083679,0.3900721073150635	2,1	3,2	110.40971374511719,123.8484878540039	0,0	0,139	0,1	0,5	0,160	0,100	0,92	0,0	0,0	11972.json	
2111	3,3	0.18631048500537872,0.18631048500537872	1,1	1,1	129.2428436279297,129.2428436279297	0,0	0,108	0,0	0,0	0,0	0,462	0,0	0,0	0,0	1182.json	
2980	3,3,3,3,3,3	0.03353726491332054,0.11484752595424652,0.11484752595424652,0.11484752595424652,0.11484752595424652,0.11484752595424652	1,1,1,1,1,1	2,2,2,2,2,2	127.8512954711914,128.31268310546875,128.31268310546875,128.31268310546875,128.31268310546875,128.31268310546875	0,0,0,0,0,0	0,466,977,977,1209,1677	0,1,0,0,0,0	0,2,0,0,0,0	0,24,0,0,0,0	0,4,462,31,105,52	0,4,0,11,88,0	0,0,0,0,0,0	0,0,0,0,0,0	3371.json	
1775	7	0.018286431208252907	2	5	110.40599822998047	0	0	0	0	0	0	0	0	0	20958.json	
3297	3,3,3	0.2876700460910797,0.27599912881851196,0.12259707599878311	1,1,1	1,1,0	132.25152587890625,132.25152587890625,132.4454345703125	1,1,1	0,273,659	0,1,1	0,2,2	0,5,12	0,10,17	0,10,17	0,0,0	0,0,0	11749.json	
2147	6,6	0.0071685840375721455,0.0472763255238533	2,2	2,2	111.6373519897461,112.03011322021484	0,0	0,538	0,1	0,2	0,6	0,53	0,53	0,0	0,0	801.json	
3204	3,3	0.24728432297706604,0.40679803490638733	1,1	0,0	131.46876525878906,131.46876525878906	1,1	0,763	0,3	0,6	0,31	0,13	0,13	0,0	0,0	14173.json	
3161	3,3,3,3	0.13690242171287537,0.13690242171287537,0.13690242171287537,0.13690242171287537	1,1,1,1	1,1,1,1	128.22288513183594,128.22288513183594,128.22288513183594,128.22288513183594	0,0,0,0	0,1166,1166,1166	0,0,0,0	0,0,0,0	0,0,0,0	0,802,833,831	0,196,196,19	0,0,0,0	0,0,0,0	4804.json	
1856	3	0.28980183601379395	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	17104.json	
2499	3,3	0.33322975039482117,0.33322975039482117	1,1	1,1	132.086669921875,132.086669921875	0,0	0,1671	0,0	0,0	0,0	0,17	0,2	0,0	0,0	15992.json	
3406	3,3	0.10014934837818146,0.10014934837818146	1,1	0,0	130.7338104248047,130.7338104248047	1,1	0,73	0,0	0,0	0,0	0,275	0,201	0,0	0,0	9048.json	
3022	3	0.531220018863678	1	1	131.28770446777344	1	0	0	0	0	0	0	0	0	12156.json	
