Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
7052	4	0.9136107563972473	1	1	127.42622375488281	1	0	0	0	0	0	0	0	0	1182.json	
5083	6	0.8299559354782104	2	1	116.13201141357422	0	0	0	0	0	0	0	0	0	3371.json	
7052	4	0.8861075639724731	1	1	127.42622375488281	1	0	0	0	0	0	0	0	0	801.json	
6436	3	0.05419876053929329	1	0	129.47398376464844	0	0	0	0	0	0	0	0	0	4804.json	
6922	3	0.5088682770729065	1	1	130.85629272460938	0	0	0	0	0	0	0	0	0	9048.json	
3749	28,28,17	0.00862225703895092,0.008609936572611332,0.28973954916000366	8,8,5	8,8,4	81.52780151367188,81.40486907958984,93.20172882080078	0,0,0	0,1,69	0,4,2	0,8,18	0,15,709	0,5,4	0,5,4	0,0,1	0,0,1	2809.json	
4204	14	0.7839459180831909	4	3	96.96907043457031	0	0	0	0	0	0	0	0	0	6035.json	
7052	4	0.5156047940254211	1	1	127.27810668945312	0	0	0	0	0	0	0	0	0	1139.json	
6941	9,9,9,9	0.4894813597202301,0.5018753409385681,0.5132818818092346,0.5132818818092346	2,2,2,2	1,1,1,1	109.40169525146484,109.93753051757812,109.66315460205078,109.66315460205078	0,0,0,0	0,505,534,569	0,1,1,0	0,2,2,0	0,18,7,0	0,1127,12,881	0,1046,12,305	0,0,0,0	0,0,0,0	8541.json	
7073	4,4	0.004884380381554365,0.6954440474510193	1,1	1,1	125.79222106933594,125.79222106933594	0,0	0,76	0,0	0,11	0,673	0,6	0,6	0,0	0,0	1421.json	
7052	12,10	0.15512923896312714,0.15197063982486725	3,3	2,2	102.60261535644531,105.67577362060547	0,0	0,2474	0,5	0,13	0,56	0,23	0,23	0,0	0,1	711.json	
5080	30,12	0.0,0.4594685137271881	24,4	0,0	75.91881561279297,101.76776885986328	0,0	0,15	0,12	0,41	0,813	0,2	0,2	0,0	0,0	7648.json	
